Branch,Date,Source,Brand Name,Net Sales
AECS Layout,2025-06-01,In Store,Boba Bar,3385.0
AECS Layout,2025-06-01,In Store,Frozen Bottle,21606.87
AECS Layout,2025-06-01,Swiggy,Boba Bar,1567.01
AECS Layout,2025-06-01,Swiggy,Frozen Bottle,14607.66
AECS Layout,2025-06-01,Swiggy,Madno,4144.01
AECS Layout,2025-06-01,Zomato,Frozen Bottle,14480.17
AECS Layout,2025-06-01,Zomato,Madno,2256.3
AECS Layout,2025-07-01,In Store,Boba Bar,13378.0
AECS Layout,2025-07-01,In Store,Frozen Bottle,171672.47
AECS Layout,2025-07-01,Swiggy,Boba Bar,9032.31
AECS Layout,2025-07-01,Swiggy,Frozen Bottle,168592.99
AECS Layout,2025-07-01,Swiggy,Madno,13234.79
AECS Layout,2025-07-01,Zomato,Boba Bar,3775.0
AECS Layout,2025-07-01,Zomato,Frozen Bottle,194132.03
AECS Layout,2025-07-01,Zomato,Madno,33426.69
AECS Layout,2025-08-01,In Store,Boba Bar,15550.0
AECS Layout,2025-08-01,In Store,Frozen Bottle,229920.88
AECS Layout,2025-08-01,Swiggy,Boba Bar,8212.24
AECS Layout,2025-08-01,Swiggy,Frozen Bottle,193670.56
AECS Layout,2025-08-01,Swiggy,Madno,21725.93
AECS Layout,2025-08-01,Zomato,Boba Bar,1338.0
AECS Layout,2025-08-01,Zomato,Frozen Bottle,116734.43000000001
AECS Layout,2025-08-01,Zomato,Madno,27935.8
AECS Layout,2025-09-01,In Store,Boba Bar,16169.0
AECS Layout,2025-09-01,In Store,Frozen Bottle,244230.86000000002
AECS Layout,2025-09-01,Swiggy,Boba Bar,9479.35
AECS Layout,2025-09-01,Swiggy,Frozen Bottle,183586.11000000002
AECS Layout,2025-09-01,Swiggy,Madno,20912.07
AECS Layout,2025-09-01,Zomato,Boba Bar,2521.82
AECS Layout,2025-09-01,Zomato,Frozen Bottle,132037.19
AECS Layout,2025-09-01,Zomato,Madno,20502.46
AECS Layout,2025-10-01,In Store,Boba Bar,7915.0
AECS Layout,2025-10-01,In Store,Frozen Bottle,235902.48
AECS Layout,2025-10-01,Swiggy,Boba Bar,15018.01
AECS Layout,2025-10-01,Swiggy,Frozen Bottle,209513.41
AECS Layout,2025-10-01,Swiggy,Madno,24950.09
AECS Layout,2025-10-01,Zomato,Boba Bar,3805.98
AECS Layout,2025-10-01,Zomato,Frozen Bottle,122094.87
AECS Layout,2025-10-01,Zomato,Madno,18692.18
AECS Layout,2025-11-01,In Store,Boba Bar,7667.0
AECS Layout,2025-11-01,In Store,Frozen Bottle,237436.38
AECS Layout,2025-11-01,Swiggy,Boba Bar,8572.48
AECS Layout,2025-11-01,Swiggy,Frozen Bottle,238729.53
