Brand Name,Date,Week,Branch,Source,Session,Store Type,Region,Net Sales,Discount,Taxes,Gross Sales,Quantity,Orders,Dis %,AOV,AOV Bucket,Discount Bucket
Frozen Bottle,2025-12-01,WK 49,AECS Layout,In Store,Dinner,COCO,KA,2521.42,0.0,126.12,2521.42,0,13,0.0,193.95538461538462,100-200,0%
Frozen Bottle,2025-12-01,WK 49,AECS Layout,In Store,Snacks,COCO,KA,471.28,0.0,24.58,471.28,0,1,0.0,471.28,400-500,0%
Frozen Bottle,2025-12-01,WK 49,AECS Layout,Swiggy,Dinner,COCO,KA,3564.0,1987.0,167.26,5331.0,0,15,37.272556743575315,237.6,200-300,30%-40%
Frozen Bottle,2025-12-01,WK 49,AECS Layout,Swiggy,Late Night,COCO,KA,189.0,60.0,8.96,239.0,0,1,25.10460251046025,189.0,100-200,20%-30%
Frozen Bottle,2025-12-01,WK 49,AECS Layout,Swiggy,Lunch,COCO,KA,124.0,120.0,5.7,234.0,0,1,51.28205128205128,124.0,100-200,50%-60%
Frozen Bottle,2025-12-01,WK 49,AECS Layout,Swiggy,Snacks,COCO,KA,1723.5,1912.5,77.72,3466.0,0,8,55.17888055395268,215.4375,200-300,50%-60%
Frozen Bottle,2025-12-01,WK 49,AECS Layout,Zomato,Closing,COCO,KA,289.0,269.0,14.46,538.0,0,1,50.0,289.0,200-300,40%-50%
Frozen Bottle,2025-12-01,WK 49,AECS Layout,Zomato,Dinner,COCO,KA,1350.0,956.0,67.54,2216.0,0,5,43.14079422382672,270.0,200-300,40%-50%
Frozen Bottle,2025-12-01,WK 49,AECS Layout,Zomato,Snacks,COCO,KA,574.5,411.5,28.740000000000002,946.0,0,3,43.498942917547566,191.5,100-200,40%-50%
Madno,2025-12-01,WK 49,AECS Layout,Swiggy,Late Night,COCO,KA,173.0,56.0,8.16,219.0,0,1,25.570776255707763,173.0,100-200,20%-30%
Frozen Bottle,2025-12-01,WK 49,Adoor,In Store,Dinner,FOFO,Kerela,1461.0,0.0,73.06,1461.0,0,3,0.0,487.0,400-500,0%
