Brand Name,Date,Week,Branch,Source,Session,Store Type,Region,Net Sales,Discount,Taxes,Gross Sales,Quantity,Orders,Dis %,AOV,AOV Bucket,Discount Bucket
Frozen Bottle,2025-01-01,WK 1,Adoor,In Store,,FOFO,Kerela,4599.0,0.0,827.82,4599.0,0,16,0.0,287.4375,200-300,0%
Frozen Bottle,2025-01-01,WK 1,Adoor,Swiggy,,FOFO,Kerela,9635.37,1259.63,1722.3,10455.0,0,19,12.048110951697753,507.1247368421053,500-600,10%-20%
Frozen Bottle,2025-01-01,WK 1,Adoor,Zomato,,FOFO,Kerela,533.0,75.0,95.94,588.0,0,1,12.755102040816327,533.0,500-600,10%-20%
Frozen Bottle,2025-01-01,WK 1,Agra,In Store,,FOFO,ROI,5764.5,92.5,1037.6200000000001,5857.0,0,23,1.579306812361277,250.6304347826087,200-300,1%-10%
Frozen Bottle,2025-01-01,WK 1,Agra,Zomato,,FOFO,ROI,1846.04,836.4000000000001,320.0,2494.0,0,6,33.536487570168404,307.67333333333335,300-400,30%-40%
Frozen Bottle,2025-01-01,WK 1,Akshay Nagar,In Store,,FOFO,KA,1006.28,0.0,181.14,1006.28,0,5,0.0,201.256,200-300,0%
Frozen Bottle,2025-01-01,WK 1,Akshay Nagar,Others,,FOFO,KA,399.2,237.8,71.82,607.0,0,2,39.17627677100494,199.6,100-200,30%-40%
Frozen Bottle,2025-01-01,WK 1,Akshay Nagar,Swiggy,,FOFO,KA,2191.88,954.12,390.94,3016.0,0,9,31.63527851458886,243.54222222222222,200-300,30%-40%
Frozen Bottle,2025-01-01,WK 1,Akshay Nagar,Zomato,,FOFO,KA,1239.12,585.1,216.9,1710.0,0,7,34.21637426900585,177.01714285714283,100-200,30%-40%
Madno,2025-01-01,WK 1,Akshay Nagar,Swiggy,,FOFO,KA,1390.74,671.26,246.72,2042.0,0,2,32.872673849167484,695.37,600-900,30%-40%
Frozen Bottle,2025-01-01,WK 1,Aluva,In Store,,FOFO,Kerela,3472.0,0.0,624.96,3472.0,0,12,0.0,289.3333333333333,200-300,0%
Frozen Bottle,2025-01-01,WK 1,Aluva,Swiggy,,FOFO,Kerela,6628.13,910.87,1144.48,7269.0,0,12,12.530884578346402,552.3441666666666,500-600,10%-20%
Frozen Bottle,2025-01-01,WK 1,Aluva,Zomato,,FOFO,Kerela,3694.0299999999997,1039.01,648.38,4451.0,0,9,23.34329364187823,410.44777777777773,400-500,20%-30%
Boba Bar,2025-01-01,WK 1,Alwarpet,In Store,,COCO,TN,229.0,0.0,41.22,229.0,0,1,0.0,229.0,200-300,0%
Boba Bar,2025-01-01,WK 1,Alwarpet,Swiggy,,COCO,TN,548.0,319.0,95.03999999999999,847.0,0,2,37.66233766233766,274.0,200-300,30%-40%
Boba Bar,2025-01-01,WK 1,Alwarpet,Zomato,,COCO,TN,269.0,0.0,48.42,259.0,0,1,0.0,269.0,200-300,0%
Frozen Bottle,2025-01-01,WK 1,Alwarpet,In Store,,COCO,TN,1634.37,258.0,294.18,1892.37,0,5,13.63369742703594,326.87399999999997,300-400,10%-20%
Frozen Bottle,2025-01-01,WK 1,Alwarpet,Swiggy,,COCO,TN,6792.51,1130.49,1222.68,7613.0,0,13,14.849468015237093,522.5007692307693,500-600,10%-20%
Frozen Bottle,2025-01-01,WK 1,Alwarpet,Zomato,,COCO,TN,2013.22,994.0,356.24,2853.0,0,9,34.840518752190675,223.69111111111113,200-300,30%-40%
Madno,2025-01-01,WK 1,Alwarpet,Swiggy,,COCO,TN,208.0,200.0,35.64,398.0,0,1,50.25125628140703,208.0,200-300,50%-60%
Madno,2025-01-01,WK 1,Alwarpet,Zomato,,COCO,TN,850.02,134.8,142.6,897.0,0,2,15.027870680044595,425.01,400-500,10%-20%
Frozen Bottle,2025-01-01,WK 1,Ambernath,In Store,,,,2962.0,0.0,533.16,2962.0,0,10,0.0,296.2,200-300,0%
Frozen Bottle,2025-01-01,WK 1,Ambernath,Swiggy,,,,677.0,0.0,116.46000000000001,647.0,0,2,0.0,338.5,300-400,0%
Frozen Bottle,2025-01-01,WK 1,Ambernath,Zomato,,,,2188.0,199.0,393.85999999999996,2307.0,0,7,8.625921109666233,312.57142857142856,300-400,1%-10%
Boba Bar,2025-01-01,WK 1,Amrawati,Zomato,,,,339.0,319.0,61.02,638.0,0,1,50.0,339.0,300-400,40%-50%
Frozen Bottle,2025-01-01,WK 1,Amrawati,In Store,,,,6879.0,0.0,1238.22,6879.0,0,17,0.0,404.6470588235294,400-500,0%
Frozen Bottle,2025-01-01,WK 1,Amrawati,Swiggy,,,,685.34,139.66,123.36000000000001,785.0,0,3,17.79108280254777,228.4466666666667,200-300,10%-20%
Frozen Bottle,2025-01-01,WK 1,Amrawati,Zomato,,,,3421.6400000000003,3021.8,603.58,6145.0,0,9,49.174938974776246,380.18222222222226,300-400,40%-50%
Boba Bar,2025-01-01,WK 1,Annanagar,In Store,,COCO,TN,2828.0,0.0,509.04,2828.0,0,9,0.0,314.22222222222223,300-400,0%
Boba Bar,2025-01-01,WK 1,Annanagar,Swiggy,,COCO,TN,1520.0,633.0,268.2,2123.0,0,3,29.81629769194536,506.6666666666667,500-600,20%-30%
Frozen Bottle,2025-01-01,WK 1,Annanagar,In Store,,COCO,TN,17074.84,0.0,3073.48,17074.84,0,72,0.0,237.15055555555557,200-300,0%
Frozen Bottle,2025-01-01,WK 1,Annanagar,Swiggy,,COCO,TN,5513.55,1678.45,992.44,6872.0,0,13,24.424476135040745,424.1192307692308,400-500,20%-30%
Frozen Bottle,2025-01-01,WK 1,Annanagar,Zomato,,COCO,TN,3899.42,1170.02,689.66,4791.0,0,13,24.421206428720517,299.9553846153846,200-300,20%-30%
Madno,2025-01-01,WK 1,Annanagar,Zomato,,COCO,TN,488.91999999999996,48.3,81.84,483.0,0,1,10.0,488.91999999999996,400-500,1%-10%
Frozen Bottle,2025-01-01,WK 1,Aundh,In Store,,FOFO,MH,3195.3,59.7,575.16,3255.0,0,10,1.8341013824884793,319.53000000000003,300-400,1%-10%
Frozen Bottle,2025-01-01,WK 1,Aundh,Zomato,,FOFO,MH,423.0,393.0,76.14,786.0,0,2,50.0,211.5,200-300,40%-50%
Frozen Bottle,2025-01-01,WK 1,Aurangabad,In Store,,,,1680.0,0.0,302.4,1680.0,0,7,0.0,240.0,200-300,0%
Frozen Bottle,2025-01-01,WK 1,Aurangabad,Swiggy,,,,238.0,0.0,42.3,218.0,0,1,0.0,238.0,200-300,0%
Frozen Bottle,2025-01-01,WK 1,Aurangabad- 1,In Store,,FOFO,MH,8549.0,0.0,1538.82,8549.0,0,25,0.0,341.96,300-400,0%
Frozen Bottle,2025-01-01,WK 1,Avadi,In Store,,FOFO,TN,13619.5,430.0,2450.28,14049.5,0,47,3.060607139044094,289.77659574468083,200-300,1%-10%
Frozen Bottle,2025-01-01,WK 1,Avadi,Swiggy,,FOFO,TN,507.0,140.0,85.86,617.0,0,1,22.690437601296594,507.0,500-600,20%-30%
Frozen Bottle,2025-01-01,WK 1,Avadi,Zomato,,FOFO,TN,3329.92,1678.31,593.3,4744.01,0,13,35.377454937911175,256.1476923076923,200-300,30%-40%
Madno,2025-01-01,WK 1,Avadi,Swiggy,,FOFO,TN,508.0,0.0,89.64,498.0,0,1,0.0,508.0,500-600,0%
Madno,2025-01-01,WK 1,Avadi,Zomato,,FOFO,TN,1641.9,521.1,295.56,2093.0,0,2,24.897276636407074,820.95,600-900,20%-30%
Frozen Bottle,2025-01-01,WK 1,BM Habitat Mall-Mysore,In Store,,,,3945.0,0.0,710.1,3945.0,0,18,0.0,219.16666666666666,200-300,0%
Frozen Bottle,2025-01-01,WK 1,BM Habitat Mall-Mysore,Swiggy,,,,329.0,0.0,58.94,319.0,0,1,0.0,329.0,300-400,0%
Boba Bar,2025-01-01,WK 1,BTM Layout,Others,,COCO,KA,217.35,111.65,39.12,319.0,0,1,35.0,217.35,200-300,30%-40%
Boba Bar,2025-01-01,WK 1,BTM Layout,Zomato,,COCO,KA,448.32000000000005,44.9,74.54,449.0,0,1,10.0,448.32000000000005,400-500,1%-10%
Frozen Bottle,2025-01-01,WK 1,BTM Layout,In Store,,COCO,KA,2417.79,0.0,432.74,2417.79,0,13,0.0,185.98384615384614,100-200,0%
Frozen Bottle,2025-01-01,WK 1,BTM Layout,Others,,COCO,KA,1632.83,0.0,247.68,1376.0,0,4,0.0,408.2075,400-500,0%
Frozen Bottle,2025-01-01,WK 1,BTM Layout,Swiggy,,COCO,KA,2788.0,315.0,480.26,2983.0,0,7,10.559839088166276,398.2857142857143,300-400,10%-20%
Frozen Bottle,2025-01-01,WK 1,BTM Layout,Zomato,,COCO,KA,5462.44,2656.78,977.16,7765.0,0,26,34.21481004507405,210.09384615384613,200-300,30%-40%
Madno,2025-01-01,WK 1,BTM Layout,Swiggy,,COCO,KA,249.0,239.0,43.02,478.0,0,1,50.0,249.0,200-300,40%-50%
Madno,2025-01-01,WK 1,BTM Layout,Zomato,,COCO,KA,1168.5,630.5,210.35999999999999,1739.0,0,5,36.25646923519264,233.7,200-300,30%-40%
Boba Bar,2025-01-01,WK 1,Badlapur,Zomato,,COCO,MH,889.52,91.7,153.96,917.0,0,1,10.0,889.52,600-900,1%-10%
Frozen Bottle,2025-01-01,WK 1,Badlapur,In Store,,COCO,MH,6606.2,19.8,1189.12,6626.0,0,23,0.2988228191971023,287.2260869565217,200-300,1%-10%
Frozen Bottle,2025-01-01,WK 1,Badlapur,Swiggy,,COCO,MH,694.0,0.0,115.92,644.0,0,2,0.0,347.0,300-400,0%
Frozen Bottle,2025-01-01,WK 1,Badlapur,Zomato,,COCO,MH,3745.6,812.4,674.22,4368.0,0,9,18.5989010989011,416.17777777777775,400-500,10%-20%
Madno,2025-01-01,WK 1,Badlapur,Swiggy,,COCO,MH,531.0,256.0,91.98,767.0,0,2,33.3767926988266,265.5,200-300,30%-40%
Madno,2025-01-01,WK 1,Badlapur,Zomato,,COCO,MH,370.4,87.6,66.68,438.0,0,2,20.0,185.2,100-200,10%-20%
Boba Bar,2025-01-01,WK 1,Banashankari,In Store,,COCO,KA,1324.0,0.0,238.32,1324.0,0,2,0.0,662.0,600-900,0%
Boba Bar,2025-01-01,WK 1,Banashankari,Swiggy,,COCO,KA,548.0,319.0,95.03999999999999,847.0,0,2,37.66233766233766,274.0,200-300,30%-40%
Boba Bar,2025-01-01,WK 1,Banashankari,Zomato,,COCO,KA,1266.0,0.0,227.88,1226.0,0,2,0.0,633.0,600-900,0%
Frozen Bottle,2025-01-01,WK 1,Banashankari,In Store,,COCO,KA,7269.139999999999,0.0,1308.46,7269.139999999999,0,24,0.0,302.8808333333333,300-400,0%
Frozen Bottle,2025-01-01,WK 1,Banashankari,Others,,COCO,KA,254.26,0.0,30.42,169.0,0,1,0.0,254.26,200-300,0%
Frozen Bottle,2025-01-01,WK 1,Banashankari,Swiggy,,COCO,KA,2211.5299999999997,327.47,395.06,2429.0,0,7,13.481679703581722,315.93285714285713,300-400,10%-20%
Frozen Bottle,2025-01-01,WK 1,Banashankari,Zomato,,COCO,KA,8552.16,2352.27,1527.2,10415.99,0,21,22.583259008505195,407.24571428571426,400-500,20%-30%
Madno,2025-01-01,WK 1,Banashankari,Swiggy,,COCO,KA,2069.31,1330.69,371.32,3370.0,0,3,39.486350148367954,689.77,600-900,30%-40%
Madno,2025-01-01,WK 1,Banashankari,Zomato,,COCO,KA,1486.24,167.2,255.2,1535.0,0,4,10.892508143322475,371.56,300-400,10%-20%
Boba Bar,2025-01-01,WK 1,Baner Road - Pune,Swiggy,,COCO,MH,1962.0,628.0,345.96000000000004,2550.0,0,4,24.627450980392158,490.5,400-500,20%-30%
Boba Bar,2025-01-01,WK 1,Baner Road - Pune,Zomato,,COCO,MH,1188.3,287.7,213.9,1436.0,0,4,20.034818941504177,297.075,200-300,20%-30%
Frozen Bottle,2025-01-01,WK 1,Baner Road - Pune,In Store,,COCO,MH,5858.0,0.0,1054.44,5858.0,0,20,0.0,292.9,200-300,0%
