Brand Name,Date,Week,Branch,Source,Session,Store Type,Region,Net Sales,Discount,Taxes,Gross Sales,Quantity,Orders,Dis %,AOV,AOV Bucket,Discount Bucket
Frozen Bottle,2025-06-01,WK 22,Adoor,In Store,Dinner,FOFO,Kerela,4192.0,0.0,754.5600000000001,4192.0,0,9,0.0,465.77777777777777,400-500,0%
Frozen Bottle,2025-06-01,WK 22,Adoor,In Store,Lunch,FOFO,Kerela,836.0,0.0,150.48000000000002,836.0,0,2,0.0,418.0,400-500,0%
Frozen Bottle,2025-06-01,WK 22,Adoor,In Store,Snacks,FOFO,Kerela,2818.0,0.0,507.24,2818.0,0,9,0.0,313.1111111111111,300-400,0%
Frozen Bottle,2025-06-01,WK 22,Adoor,Swiggy,Dinner,FOFO,Kerela,654.9200000000001,141.08,116.78,756.0,0,2,18.66137566137566,327.46000000000004,300-400,10%-20%
Frozen Bottle,2025-06-01,WK 22,Adoor,Swiggy,Lunch,FOFO,Kerela,1658.2,342.8,296.02,1911.0,0,2,17.93825222396651,829.1,600-900,10%-20%
Frozen Bottle,2025-06-01,WK 22,Adoor,Swiggy,Snacks,FOFO,Kerela,2968.91,141.09,528.92,2910.0,0,4,4.848453608247423,742.2275,600-900,1%-10%
Frozen Bottle,2025-06-01,WK 22,Adoor,Zomato,Lunch,FOFO,Kerela,278.8,159.2,50.2,418.0,0,2,38.08612440191387,139.4,100-200,30%-40%
Frozen Bottle,2025-06-01,WK 22,Agra,In Store,Dinner,FOFO,ROI,885.0,0.0,159.3,885.0,0,3,0.0,295.0,200-300,0%
Frozen Bottle,2025-06-01,WK 22,Agra,In Store,Snacks,FOFO,ROI,627.0,0.0,112.86,627.0,0,3,0.0,209.0,200-300,0%
Frozen Bottle,2025-06-01,WK 22,Agra,Swiggy,Dinner,FOFO,ROI,219.0,0.0,38.88,199.0,0,1,0.0,219.0,200-300,0%
Frozen Bottle,2025-06-01,WK 22,Agra,Zomato,Dinner,FOFO,ROI,576.5,388.5,103.8,925.0,0,2,42.0,288.25,200-300,40%-50%
Frozen Bottle,2025-06-01,WK 22,Agra,Zomato,Lunch,FOFO,ROI,279.7,158.3,50.36,418.0,0,1,37.87081339712919,279.7,200-300,30%-40%
Frozen Bottle,2025-06-01,WK 22,Agra,Zomato,Snacks,FOFO,ROI,741.0,244.0,133.42,935.0,0,3,26.09625668449198,247.0,200-300,20%-30%
Boba Bar,2025-06-01,WK 22,Akshay Nagar,In Store,Dinner,FOFO,KA,508.0,0.0,91.44,508.0,0,1,0.0,508.0,500-600,0%
Boba Bar,2025-06-01,WK 22,Akshay Nagar,Swiggy,Dinner,FOFO,KA,119.0,60.0,21.14,169.0,0,1,35.50295857988166,119.0,100-200,30%-40%
