Brand Name,Date,Week,Branch,Source,Session,Store Type,Region,Net Sales,Discount,Taxes,Gross Sales,Quantity,Orders,Dis %,AOV,AOV Bucket,Discount Bucket
Frozen Bottle,2025-03-01,WK 9,Adoor,In Store,,FOFO,Kerela,5017.0,0.0,903.0600000000001,5017.0,0,17,0.0,295.11764705882354,200-300,0%
Frozen Bottle,2025-03-01,WK 9,Adoor,Swiggy,,FOFO,Kerela,3363.8,491.2,600.82,3685.0,0,10,13.329715061058344,336.38,300-400,10%-20%
Frozen Bottle,2025-03-01,WK 9,Adoor,Zomato,,FOFO,Kerela,284.0,264.0,51.14,528.0,0,1,50.0,284.0,200-300,40%-50%
Frozen Bottle,2025-03-01,WK 9,Agra,In Store,,FOFO,ROI,2950.0,0.0,531.0,2950.0,0,12,0.0,245.83333333333334,200-300,0%
Frozen Bottle,2025-03-01,WK 9,Agra,Zomato,,FOFO,ROI,2557.4,808.59,460.38,3225.99,0,9,25.064863809249253,284.15555555555557,200-300,20%-30%
Boba Bar,2025-03-01,WK 9,Akshay Nagar,Swiggy,,FOFO,KA,433.0,75.0,77.66,498.0,0,1,15.060240963855422,433.0,400-500,10%-20%
Boba Bar,2025-03-01,WK 9,Akshay Nagar,Zomato,,FOFO,KA,194.0,174.0,34.94,348.0,0,1,50.0,194.0,100-200,40%-50%
Frozen Bottle,2025-03-01,WK 9,Akshay Nagar,In Store,,FOFO,KA,4826.84,0.0,868.86,4826.84,0,17,0.0,283.93176470588236,200-300,0%
Frozen Bottle,2025-03-01,WK 9,Akshay Nagar,Others,,FOFO,KA,443.28,242.71999999999997,77.98,656.0,0,2,36.99999999999999,221.64,200-300,30%-40%
Frozen Bottle,2025-03-01,WK 9,Akshay Nagar,Swiggy,,FOFO,KA,2747.82,361.18,491.56,2999.0,0,9,12.043347782594198,305.31333333333333,300-400,10%-20%
Frozen Bottle,2025-03-01,WK 9,Akshay Nagar,Zomato,,FOFO,KA,4071.3,1655.7,732.9,5507.0,0,12,30.065371345560198,339.27500000000003,300-400,30%-40%
Madno,2025-03-01,WK 9,Akshay Nagar,Swiggy,,FOFO,KA,256.5,52.5,44.38,299.0,0,1,17.558528428093645,256.5,200-300,10%-20%
Madno,2025-03-01,WK 9,Akshay Nagar,Zomato,,FOFO,KA,1106.8,414.2,199.24,1451.0,0,5,28.545830461750516,221.35999999999999,200-300,20%-30%
Frozen Bottle,2025-03-01,WK 9,Aluva,In Store,,FOFO,Kerela,3509.0,0.0,631.62,3509.0,0,12,0.0,292.4166666666667,200-300,0%
Frozen Bottle,2025-03-01,WK 9,Aluva,Swiggy,,FOFO,Kerela,3444.05,741.95,585.76,3996.0,0,9,18.56731731731732,382.6722222222222,300-400,10%-20%
Frozen Bottle,2025-03-01,WK 9,Aluva,Zomato,,FOFO,Kerela,1385.0,279.0,249.32000000000002,1604.0,0,3,17.394014962593516,461.6666666666667,400-500,10%-20%
Boba Bar,2025-03-01,WK 9,Alwarpet,In Store,,COCO,TN,249.0,0.0,44.82,249.0,0,1,0.0,249.0,200-300,0%
Boba Bar,2025-03-01,WK 9,Alwarpet,Swiggy,,COCO,TN,259.0,0.0,44.82,249.0,0,1,0.0,259.0,200-300,0%
Boba Bar,2025-03-01,WK 9,Alwarpet,Zomato,,COCO,TN,2175.0,275.0,391.48,2370.0,0,3,11.60337552742616,725.0,600-900,10%-20%
Frozen Bottle,2025-03-01,WK 9,Alwarpet,In Store,,COCO,TN,4247.0,2214.12,764.46,6461.12,0,14,34.26836214154822,303.35714285714283,300-400,30%-40%
Frozen Bottle,2025-03-01,WK 9,Alwarpet,Swiggy,,COCO,TN,8234.27,1985.73,1482.2,9780.0,0,22,20.303987730061348,374.285,300-400,20%-30%
Frozen Bottle,2025-03-01,WK 9,Alwarpet,Zomato,,COCO,TN,2958.5,688.5,532.54,3537.0,0,9,19.46564885496183,328.72222222222223,300-400,10%-20%
Madno,2025-03-01,WK 9,Alwarpet,Zomato,,COCO,TN,166.8,67.2,30.02,224.0,0,1,30.0,166.8,100-200,20%-30%
,2025-03-01,WK 9,Alwarpet,,,COCO,TN,475.0,0.0,85.5,475.0,0,3,0.0,158.33333333333334,100-200,0%
Frozen Bottle,2025-03-01,WK 9,Ambernath,In Store,,,,1022.2,21.8,184.0,1044.0,0,3,2.088122605363985,340.73333333333335,300-400,1%-10%
Frozen Bottle,2025-03-01,WK 9,Ambernath,Zomato,,,,5357.2,2278.81,964.4,7356.01,0,14,30.978886651866976,382.65714285714284,300-400,30%-40%
Boba Bar,2025-03-01,WK 9,Amrawati,Zomato,,,,299.0,269.0,53.82,548.0,0,1,49.08759124087591,299.0,200-300,40%-50%
Frozen Bottle,2025-03-01,WK 9,Amrawati,In Store,,,,4711.5,0.0,818.38,4711.5,0,15,0.0,314.1,300-400,0%
Frozen Bottle,2025-03-01,WK 9,Amrawati,Swiggy,,,,1617.28,722.72,291.12,2240.0,0,6,32.26428571428572,269.5466666666667,200-300,30%-40%
Frozen Bottle,2025-03-01,WK 9,Amrawati,Zomato,,,,3454.0,2291.0,621.74,5495.0,0,11,41.69244767970883,314.0,300-400,40%-50%
Madno,2025-03-01,WK 9,Amrawati,Zomato,,,,1287.0,821.0,231.66,2018.0,0,5,40.68384539147671,257.4,200-300,40%-50%
Frozen Bottle,2025-03-01,WK 9,Ananth Nagar,In Store,,COCO,KA,8064.4,0.0,1451.64,8064.4,0,34,0.0,237.18823529411765,200-300,0%
Frozen Bottle,2025-03-01,WK 9,Ananth Nagar,Swiggy,,COCO,KA,2724.69,481.31,467.04,3076.0,0,8,15.647269180754225,340.58625,300-400,10%-20%
Frozen Bottle,2025-03-01,WK 9,Ananth Nagar,Zomato,,COCO,KA,579.4,147.6,104.32000000000001,697.0,0,2,21.176470588235293,289.7,200-300,20%-30%
Boba Bar,2025-03-01,WK 9,Annanagar,Swiggy,,COCO,TN,236.5,52.5,40.78,279.0,0,1,18.817204301075268,236.5,200-300,10%-20%
Frozen Bottle,2025-03-01,WK 9,Annanagar,In Store,,COCO,TN,21560.8,2585.0,3879.74,24145.8,0,87,10.705795624911993,247.82528735632184,200-300,10%-20%
Frozen Bottle,2025-03-01,WK 9,Annanagar,Swiggy,,COCO,TN,5402.98,1431.02,972.5600000000001,6524.0,0,19,21.934702636419374,284.3673684210526,200-300,20%-30%
Frozen Bottle,2025-03-01,WK 9,Annanagar,Zomato,,COCO,TN,6002.1,1461.88,1080.42,7173.98,0,15,20.377531021831675,400.14000000000004,400-500,20%-30%
Madno,2025-03-01,WK 9,Annanagar,Swiggy,,COCO,TN,1306.27,374.73,224.32000000000002,1621.0,0,6,23.11721159777915,217.71166666666667,200-300,20%-30%
Madno,2025-03-01,WK 9,Annanagar,Zomato,,COCO,TN,129.5,119.5,23.32,239.0,0,1,50.0,129.5,100-200,40%-50%
Frozen Bottle,2025-03-01,WK 9,Aundh,In Store,,FOFO,MH,4395.0,0.0,791.1,4395.0,0,12,0.0,366.25,300-400,0%
Frozen Bottle,2025-03-01,WK 9,Aundh,Zomato,,FOFO,MH,1059.0,235.0,190.62,1244.0,0,4,18.890675241157556,264.75,200-300,10%-20%
Frozen Bottle,2025-03-01,WK 9,Aurangabad,In Store,,,,1680.0,0.0,302.40000000000003,1680.0,0,5,0.0,336.0,300-400,0%
Frozen Bottle,2025-03-01,WK 9,Aurangabad- 1,In Store,,FOFO,MH,6104.3,58.7,1098.78,6163.0,0,20,0.9524582184001299,305.21500000000003,300-400,1%-10%
Frozen Bottle,2025-03-01,WK 9,Aurangabad- 1,Swiggy,,FOFO,MH,359.0,0.0,62.82,349.0,0,1,0.0,359.0,300-400,0%
Frozen Bottle,2025-03-01,WK 9,Aurangabad- 1,Zomato,,FOFO,MH,872.5,673.5,157.1,1486.0,0,4,45.32301480484522,218.125,200-300,40%-50%
Frozen Bottle,2025-03-01,WK 9,Avadi,In Store,,FOFO,TN,9207.93,0.0,1657.44,9207.93,0,31,0.0,297.03000000000003,200-300,0%
Frozen Bottle,2025-03-01,WK 9,Avadi,Swiggy,,FOFO,TN,2771.04,412.96000000000004,471.8,3034.0,0,7,13.61107448912327,395.86285714285714,300-400,10%-20%
Frozen Bottle,2025-03-01,WK 9,Avadi,Zomato,,FOFO,TN,2259.5,629.49,406.72,2778.99,0,7,22.651754774216535,322.7857142857143,300-400,20%-30%
Frozen Bottle,2025-03-01,WK 9,BM Habitat Mall-Mysore,In Store,,,,1549.1,22.9,278.84000000000003,1572.0,0,6,1.4567430025445292,258.18333333333334,200-300,1%-10%
Boba Bar,2025-03-01,WK 9,BTM Layout,Others,,COCO,KA,393.5,363.5,70.8,727.0,0,1,50.0,393.5,300-400,40%-50%
Boba Bar,2025-03-01,WK 9,BTM Layout,Swiggy,,COCO,KA,558.0,179.0,98.64,727.0,0,1,24.621733149931224,558.0,500-600,20%-30%
Frozen Bottle,2025-03-01,WK 9,BTM Layout,In Store,,COCO,KA,7706.65,756.0,1387.2,8462.65,0,32,8.933371934323175,240.8328125,200-300,1%-10%
Frozen Bottle,2025-03-01,WK 9,BTM Layout,Others,,COCO,KA,1331.26,1040.9,220.98000000000002,2199.0,0,5,47.33515234197363,266.252,200-300,40%-50%
Frozen Bottle,2025-03-01,WK 9,BTM Layout,Swiggy,,COCO,KA,10753.2,3467.8,1827.6,13621.0,0,32,25.459217384920347,336.0375,300-400,20%-30%
Frozen Bottle,2025-03-01,WK 9,BTM Layout,Zomato,,COCO,KA,10854.1,3082.9,1953.82,13357.0,0,35,23.08078161263757,310.1171428571429,300-400,20%-30%
Madno,2025-03-01,WK 9,BTM Layout,Others,,COCO,KA,458.01,417.99,77.02,836.0,0,1,49.998803827751196,458.01,400-500,40%-50%
Madno,2025-03-01,WK 9,BTM Layout,Swiggy,,COCO,KA,1390.68,604.3199999999999,239.52,1935.0,0,6,31.231007751937984,231.78,200-300,30%-40%
Madno,2025-03-01,WK 9,BTM Layout,Zomato,,COCO,KA,1948.5,489.5,350.74,2328.0,0,8,21.0266323024055,243.5625,200-300,20%-30%
