Brand Name,Date,Week,Branch,Source,Session,Store Type,Region,Net Sales,Discount,Taxes,Gross Sales,Quantity,Orders,Dis %,AOV,AOV Bucket,Discount Bucket
Frozen Bottle,2025-10-01,WK 40,AECS Layout,In Store,Closing,COCO,KA,1053.52,0.0,55.68,1053.52,0,4,0.0,263.38,200-300,0%
Frozen Bottle,2025-10-01,WK 40,AECS Layout,In Store,Dinner,COCO,KA,7978.83,0.0,406.06,7978.83,0,27,0.0,295.5122222222222,200-300,0%
Frozen Bottle,2025-10-01,WK 40,AECS Layout,In Store,Late Night,COCO,KA,117.0,0.0,5.859999999999999,117.0,0,2,0.0,58.5,0-100,0%
Frozen Bottle,2025-10-01,WK 40,AECS Layout,In Store,Lunch,COCO,KA,78.0,0.0,3.9,78.0,0,1,0.0,78.0,0-100,0%
Frozen Bottle,2025-10-01,WK 40,AECS Layout,In Store,Snacks,COCO,KA,526.28,0.0,26.36,526.28,0,7,0.0,75.18285714285715,0-100,0%
Frozen Bottle,2025-10-01,WK 40,AECS Layout,Swiggy,Dinner,COCO,KA,3700.12,1042.88,176.52,4573.0,0,10,22.80516072600044,370.012,300-400,20%-30%
Frozen Bottle,2025-10-01,WK 40,AECS Layout,Swiggy,Late Night,COCO,KA,4600.21,1325.79,216.56,5656.0,0,15,23.440417256011315,306.6806666666667,300-400,20%-30%
Frozen Bottle,2025-10-01,WK 40,AECS Layout,Swiggy,Lunch,COCO,KA,1083.72,192.28,52.2,1236.0,0,3,15.55663430420712,361.24,300-400,10%-20%
Frozen Bottle,2025-10-01,WK 40,AECS Layout,Swiggy,Snacks,COCO,KA,1013.24,226.76,48.16,1190.0,0,4,19.055462184873946,253.31,200-300,10%-20%
Frozen Bottle,2025-10-01,WK 40,AECS Layout,Zomato,Breakfast,COCO,KA,249.0,50.0,12.46,289.0,0,1,17.301038062283737,249.0,200-300,10%-20%
Frozen Bottle,2025-10-01,WK 40,AECS Layout,Zomato,Closing,COCO,KA,219.0,50.0,10.96,259.0,0,1,19.305019305019304,219.0,200-300,10%-20%
Frozen Bottle,2025-10-01,WK 40,AECS Layout,Zomato,Dinner,COCO,KA,284.0,73.0,14.2,337.0,0,1,21.66172106824926,284.0,200-300,20%-30%
Frozen Bottle,2025-10-01,WK 40,AECS Layout,Zomato,Lunch,COCO,KA,377.3,160.7,18.880000000000003,518.0,0,2,31.02316602316602,188.65,100-200,30%-40%
Frozen Bottle,2025-10-01,WK 40,AECS Layout,Zomato,Snacks,COCO,KA,800.5,344.5,40.06,1095.0,0,3,31.461187214611876,266.8333333333333,200-300,30%-40%
Madno,2025-10-01,WK 40,AECS Layout,Zomato,Snacks,COCO,KA,239.0,219.0,11.96,438.0,0,1,50.0,239.0,200-300,40%-50%
Frozen Bottle,2025-10-01,WK 40,Adoor,In Store,Dinner,FOFO,Kerela,4121.0,0.0,206.12,4121.0,0,13,0.0,317.0,300-400,0%
Frozen Bottle,2025-10-01,WK 40,Adoor,In Store,Lunch,FOFO,Kerela,1326.0,0.0,66.32,1326.0,0,4,0.0,331.5,300-400,0%
Frozen Bottle,2025-10-01,WK 40,Adoor,In Store,Snacks,FOFO,Kerela,3488.0,0.0,174.44,3488.0,0,10,0.0,348.8,300-400,0%
Frozen Bottle,2025-10-01,WK 40,Adoor,Swiggy,Dinner,FOFO,Kerela,3659.98,461.02,173.54,3931.0,0,8,11.727804629865174,457.4975,400-500,10%-20%
Frozen Bottle,2025-10-01,WK 40,Adoor,Swiggy,Lunch,FOFO,Kerela,1651.6599999999999,150.34,78.6,1722.0,0,4,8.73054587688734,412.91499999999996,400-500,1%-10%
Frozen Bottle,2025-10-01,WK 40,Adoor,Swiggy,Snacks,FOFO,Kerela,1600.03,279.97,76.02,1800.0,0,3,15.553888888888888,533.3433333333334,500-600,10%-20%
Frozen Bottle,2025-10-01,WK 40,Adoor,Zomato,Dinner,FOFO,Kerela,319.0,0.0,15.96,309.0,0,1,0.0,319.0,300-400,0%
Frozen Bottle,2025-10-01,WK 40,Adoor,Zomato,Lunch,FOFO,Kerela,1360.0,189.0,68.04,1489.0,0,3,12.693082605775688,453.3333333333333,400-500,10%-20%
Frozen Bottle,2025-10-01,WK 40,Adoor,Zomato,Snacks,FOFO,Kerela,1773.0,0.0,88.66,1703.0,0,2,0.0,886.5,600-900,0%
Frozen Bottle,2025-10-01,WK 40,Agra,In Store,Dinner,FOFO,ROI,328.0,0.0,16.42,328.0,0,2,0.0,164.0,100-200,0%
Frozen Bottle,2025-10-01,WK 40,Agra,Zomato,Lunch,FOFO,ROI,249.2,59.8,12.46,299.0,0,1,20.0,249.2,200-300,10%-20%
Frozen Bottle,2025-10-01,WK 40,Ahmedabad 2,In Store,Dinner,,,693.0,610.0,34.68,1303.0,0,4,46.815042210283956,173.25,100-200,40%-50%
Frozen Bottle,2025-10-01,WK 40,Ahmedabad 2,In Store,Late Night,,,297.0,240.0,14.86,537.0,0,1,44.6927374301676,297.0,200-300,40%-50%
Frozen Bottle,2025-10-01,WK 40,Ahmedabad 2,Zomato,Late Night,,,379.0,40.0,18.96,409.0,0,1,9.7799511002445,379.0,300-400,1%-10%
Frozen Bottle,2025-10-01,WK 40,Ahmedabad 2,Zomato,Snacks,,,1086.0,0.0,54.32,1046.0,0,1,0.0,1086.0,>900,0%
Boba Bar,2025-10-01,WK 40,Akshay Nagar,Swiggy,Dinner,FOFO,KA,528.86,139.98,26.44,668.84,0,1,20.92877220261946,528.86,500-600,20%-30%
Frozen Bottle,2025-10-01,WK 40,Akshay Nagar,Swiggy,Late Night,FOFO,KA,319.0,0.0,15.46,309.0,0,1,0.0,319.0,300-400,0%
Frozen Bottle,2025-10-01,WK 40,Akshay Nagar,Swiggy,Lunch,FOFO,KA,598.0,140.0,28.9,718.0,0,1,19.498607242339833,598.0,500-600,10%-20%
Frozen Bottle,2025-10-01,WK 40,Akshay Nagar,Swiggy,Snacks,FOFO,KA,1236.02,363.98,59.3,1550.0,0,3,23.482580645161292,412.00666666666666,400-500,20%-30%
Frozen Bottle,2025-10-01,WK 40,Akshay Nagar,Zomato,Dinner,FOFO,KA,808.0,49.0,40.42,827.0,0,2,5.92503022974607,404.0,400-500,1%-10%
Frozen Bottle,2025-10-01,WK 40,Akshay Nagar,Zomato,Late Night,FOFO,KA,408.0,0.0,20.42,388.0,0,1,0.0,408.0,400-500,0%
Frozen Bottle,2025-10-01,WK 40,Akshay Nagar,Zomato,Lunch,FOFO,KA,177.2,41.8,8.86,209.0,0,1,20.0,177.2,100-200,10%-20%
Frozen Bottle,2025-10-01,WK 40,Akshay Nagar,Zomato,Snacks,FOFO,KA,153.2,35.8,7.66,179.0,0,1,20.0,153.2,100-200,10%-20%
Madno,2025-10-01,WK 40,Akshay Nagar,Zomato,Snacks,FOFO,KA,358.0,50.0,17.9,388.0,0,1,12.886597938144329,358.0,300-400,10%-20%
Frozen Bottle,2025-10-01,WK 40,Aluva,In Store,Dinner,FOFO,Kerela,2558.0,0.0,127.94,2558.0,0,8,0.0,319.75,300-400,0%
Frozen Bottle,2025-10-01,WK 40,Aluva,In Store,Lunch,FOFO,Kerela,1911.0,0.0,95.58,1911.0,0,4,0.0,477.75,400-500,0%
Frozen Bottle,2025-10-01,WK 40,Aluva,In Store,Snacks,FOFO,Kerela,229.0,0.0,11.46,229.0,0,1,0.0,229.0,200-300,0%
Frozen Bottle,2025-10-01,WK 40,Aluva,Swiggy,Dinner,FOFO,Kerela,864.0,63.0,41.7,897.0,0,2,7.023411371237458,432.0,400-500,1%-10%
Frozen Bottle,2025-10-01,WK 40,Aluva,Swiggy,Lunch,FOFO,Kerela,2136.7799999999997,414.22,102.36,2461.0,0,4,16.831369362047948,534.1949999999999,500-600,10%-20%
Frozen Bottle,2025-10-01,WK 40,Aluva,Swiggy,Snacks,FOFO,Kerela,1438.01,55.989999999999995,68.92,1434.0,0,4,3.9044630404463034,359.5025,300-400,1%-10%
Frozen Bottle,2025-10-01,WK 40,Aluva,Zomato,Dinner,FOFO,Kerela,170.0,49.0,8.5,209.0,0,1,23.444976076555022,170.0,100-200,20%-30%
