Brand Name,Date,Week,Branch,Source,Session,Store Type,Region,Net Sales,Discount,Taxes,Gross Sales,Quantity,Orders,Dis %,AOV,AOV Bucket,Discount Bucket
Boba Bar,2026-04-01,WK 14,AECS Layout,Swiggy,Dinner,COCO,KA,223.0,96.0,10.66,309.0,0,1,31.06796116504854,223.0,200-300,30%-40%
Frozen Bottle,2026-04-01,WK 14,AECS Layout,In Store,Dinner,COCO,KA,4947.41,0.0,247.48000000000002,4947.41,0,26,0.0,190.285,100-200,0%
Frozen Bottle,2026-04-01,WK 14,AECS Layout,In Store,Late Night,COCO,KA,575.0,0.0,28.78,575.0,0,4,0.0,143.75,100-200,0%
Frozen Bottle,2026-04-01,WK 14,AECS Layout,In Store,Lunch,COCO,KA,533.0,0.0,26.68,533.0,0,4,0.0,133.25,100-200,0%
Frozen Bottle,2026-04-01,WK 14,AECS Layout,In Store,Snacks,COCO,KA,961.0,0.0,48.08,961.0,0,6,0.0,160.16666666666666,100-200,0%
Frozen Bottle,2026-04-01,WK 14,AECS Layout,Swiggy,Dinner,COCO,KA,6501.66,3299.02,309.28,9480.68,0,25,34.7972930211757,260.0664,200-300,30%-40%
Frozen Bottle,2026-04-01,WK 14,AECS Layout,Swiggy,Late Night,COCO,KA,3270.97,1650.03,155.14,4751.0,0,13,34.730162071142914,251.6130769230769,200-300,30%-40%
Frozen Bottle,2026-04-01,WK 14,AECS Layout,Swiggy,Lunch,COCO,KA,1356.26,904.74,63.34,2171.0,0,4,41.67388300322432,339.065,300-400,40%-50%
Frozen Bottle,2026-04-01,WK 14,AECS Layout,Swiggy,Snacks,COCO,KA,1969.98,1039.02,93.03999999999999,2899.0,0,7,35.84063470162125,281.42571428571426,200-300,30%-40%
Madno,2026-04-01,WK 14,AECS Layout,Swiggy,Dinner,COCO,KA,835.0,390.0,39.300000000000004,1175.0,0,5,33.191489361702125,167.0,100-200,30%-40%
Madno,2026-04-01,WK 14,AECS Layout,Swiggy,Late Night,COCO,KA,362.0,154.0,17.12,496.0,0,2,31.048387096774192,181.0,100-200,30%-40%
Madno,2026-04-01,WK 14,AECS Layout,Zomato,Dinner,COCO,KA,1294.0,524.0,64.74000000000001,1748.0,0,6,29.97711670480549,215.66666666666666,200-300,20%-30%
Madno,2026-04-01,WK 14,AECS Layout,Zomato,Snacks,COCO,KA,703.0,225.0,35.16,908.0,0,2,24.779735682819386,351.5,300-400,20%-30%
Frozen Bottle,2026-04-01,WK 14,Adoor,In Store,Dinner,FOFO,Kerela,2572.32,0.0,128.68,2572.32,0,7,0.0,367.4742857142857,300-400,0%
Frozen Bottle,2026-04-01,WK 14,Adoor,In Store,Lunch,FOFO,Kerela,922.0,0.0,46.120000000000005,922.0,0,4,0.0,230.5,200-300,0%
Frozen Bottle,2026-04-01,WK 14,Adoor,In Store,Snacks,FOFO,Kerela,4342.0,0.0,217.14,4342.0,0,10,0.0,434.2,400-500,0%
Frozen Bottle,2026-04-01,WK 14,Adoor,Swiggy,Dinner,FOFO,Kerela,1226.01,203.35,57.82,1359.3600000000001,0,4,14.959245527306967,306.5025,300-400,10%-20%
Frozen Bottle,2026-04-01,WK 14,Adoor,Swiggy,Lunch,FOFO,Kerela,1624.0,0.0,78.7,1574.0,0,2,0.0,812.0,600-900,0%
Frozen Bottle,2026-04-01,WK 14,Adoor,Swiggy,Snacks,FOFO,Kerela,2773.4300000000003,243.57,133.18,2907.0,0,4,8.378740970072238,693.3575000000001,600-900,1%-10%
Frozen Bottle,2026-04-01,WK 14,Adoor,Zomato,Dinner,FOFO,Kerela,311.48,55.52,15.58,347.0,0,1,16.0,311.48,300-400,10%-20%
Frozen Bottle,2026-04-01,WK 14,Adoor,Zomato,Snacks,FOFO,Kerela,286.36,52.64,14.32,329.0,0,1,16.0,286.36,200-300,10%-20%
Frozen Bottle,2026-04-01,WK 14,Agra,In Store,Dinner,FOFO,ROI,974.0,0.0,48.72,974.0,0,3,0.0,324.6666666666667,300-400,0%
Frozen Bottle,2026-04-01,WK 14,Agra,In Store,Lunch,FOFO,ROI,199.0,0.0,9.96,199.0,0,1,0.0,199.0,100-200,0%
Frozen Bottle,2026-04-01,WK 14,Agra,In Store,Snacks,FOFO,ROI,299.0,0.0,14.96,299.0,0,1,0.0,299.0,200-300,0%
Frozen Bottle,2026-04-01,WK 14,Agra,Swiggy,Snacks,FOFO,ROI,269.0,0.0,12.46,249.0,0,1,0.0,269.0,200-300,0%
Frozen Bottle,2026-04-01,WK 14,Agra,Zomato,Lunch,FOFO,ROI,265.2,63.8,13.26,319.0,0,1,20.0,265.2,200-300,10%-20%
Frozen Bottle,2026-04-01,WK 14,Ahmedabad 2,Swiggy,Snacks,,,457.61,109.39,21.88,547.0,0,1,19.9981718464351,457.61,400-500,10%-20%
Frozen Bottle,2026-04-01,WK 14,Ahmedabad 2,Zomato,Dinner,,,825.45,141.55,41.28,937.0,0,2,15.106723585912487,412.725,400-500,10%-20%
Frozen Bottle,2026-04-01,WK 14,Ahmedabad 2,Zomato,Lunch,,,348.5,109.5,17.42,438.0,0,1,25.0,348.5,300-400,20%-30%
Boba Bar,2026-04-01,WK 14,Akshay Nagar,Swiggy,Snacks,FOFO,KA,199.0,0.0,9.46,189.0,0,1,0.0,199.0,100-200,0%
Frozen Bottle,2026-04-01,WK 14,Akshay Nagar,In Store,Dinner,FOFO,KA,606.0,0.0,30.3,606.0,0,2,0.0,303.0,300-400,0%
Frozen Bottle,2026-04-01,WK 14,Akshay Nagar,Swiggy,Dinner,FOFO,KA,895.95,269.05,42.8,1125.0,0,2,23.915555555555557,447.975,400-500,20%-30%
Frozen Bottle,2026-04-01,WK 14,Akshay Nagar,Swiggy,Late Night,FOFO,KA,567.0,120.0,27.36,667.0,0,2,17.991004497751124,283.5,200-300,10%-20%
Frozen Bottle,2026-04-01,WK 14,Akshay Nagar,Swiggy,Lunch,FOFO,KA,369.0,0.0,17.96,359.0,0,1,0.0,369.0,300-400,0%
Frozen Bottle,2026-04-01,WK 14,Akshay Nagar,Swiggy,Snacks,FOFO,KA,508.0,0.0,24.42,488.0,0,2,0.0,254.0,200-300,0%
Frozen Bottle,2026-04-01,WK 14,Akshay Nagar,Zomato,Dinner,FOFO,KA,856.11,207.89,42.82,1024.0,0,3,20.3017578125,285.37,200-300,20%-30%
Frozen Bottle,2026-04-01,WK 14,Akshay Nagar,Zomato,Late Night,FOFO,KA,2004.66,353.66,100.24000000000001,2258.32,0,7,15.660313861631655,286.38,200-300,10%-20%
