Brand Name,Date,Week,Branch,Source,Session,Store Type,Region,Net Sales,Discount,Taxes,Gross Sales,Quantity,Orders,Dis %,AOV,AOV Bucket,Discount Bucket
Boba Bar,2026-02-01,WK 5,AECS Layout,In Store,Breakfast,COCO,KA,238.0,0.0,11.9,238.0,0,1,0.0,238.0,200-300,0%
Boba Bar,2026-02-01,WK 5,AECS Layout,In Store,Dinner,COCO,KA,249.0,0.0,12.46,249.0,0,1,0.0,249.0,200-300,0%
Boba Bar,2026-02-01,WK 5,AECS Layout,Swiggy,Dinner,COCO,KA,1440.99,263.01,69.03999999999999,1644.0,0,4,15.998175182481752,360.2475,300-400,10%-20%
Boba Bar,2026-02-01,WK 5,AECS Layout,Zomato,Dinner,COCO,KA,138.0,80.0,6.9,208.0,0,1,38.46153846153847,138.0,100-200,30%-40%
Frozen Bottle,2026-02-01,WK 5,AECS Layout,In Store,Dinner,COCO,KA,7639.22,0.0,382.18,7639.22,0,37,0.0,206.46540540540542,200-300,0%
Frozen Bottle,2026-02-01,WK 5,AECS Layout,In Store,Late Night,COCO,KA,39.0,0.0,1.96,39.0,0,1,0.0,39.0,0-100,0%
Frozen Bottle,2026-02-01,WK 5,AECS Layout,In Store,Lunch,COCO,KA,463.23,0.0,23.18,463.23,0,2,0.0,231.615,200-300,0%
Frozen Bottle,2026-02-01,WK 5,AECS Layout,In Store,Snacks,COCO,KA,1918.55,260.0,96.0,2178.55,0,13,11.93454361846182,147.58076923076922,100-200,10%-20%
Frozen Bottle,2026-02-01,WK 5,AECS Layout,Swiggy,Dinner,COCO,KA,6969.27,3643.37,331.52,10272.64,0,24,35.46673493863311,290.38625,200-300,30%-40%
Frozen Bottle,2026-02-01,WK 5,AECS Layout,Swiggy,Late Night,COCO,KA,1152.75,1329.25,53.660000000000004,2402.0,0,5,55.33930058284763,230.55,200-300,50%-60%
Frozen Bottle,2026-02-01,WK 5,AECS Layout,Swiggy,Lunch,COCO,KA,2736.42,1916.58,129.34,4503.0,0,9,42.56229180546302,304.0466666666667,300-400,40%-50%
Frozen Bottle,2026-02-01,WK 5,AECS Layout,Swiggy,Snacks,COCO,KA,4149.43,1640.57,196.54000000000002,5570.0,0,15,29.453680430879714,276.6286666666667,200-300,20%-30%
Frozen Bottle,2026-02-01,WK 5,AECS Layout,Zomato,Dinner,COCO,KA,820.0,300.0,41.040000000000006,1080.0,0,4,27.77777777777778,205.0,200-300,20%-30%
Frozen Bottle,2026-02-01,WK 5,AECS Layout,Zomato,Late Night,COCO,KA,449.0,213.0,22.46,642.0,0,1,33.177570093457945,449.0,400-500,30%-40%
Frozen Bottle,2026-02-01,WK 5,AECS Layout,Zomato,Lunch,COCO,KA,981.2,622.8,49.08,1554.0,0,3,40.077220077220076,327.06666666666666,300-400,40%-50%
Frozen Bottle,2026-02-01,WK 5,AECS Layout,Zomato,Snacks,COCO,KA,696.8,240.2,34.86,907.0,0,3,26.48291069459757,232.26666666666665,200-300,20%-30%
Madno,2026-02-01,WK 5,AECS Layout,Swiggy,Dinner,COCO,KA,2061.42,825.58,97.1,2767.0,0,9,29.836646187206362,229.04666666666668,200-300,20%-30%
Madno,2026-02-01,WK 5,AECS Layout,Swiggy,Late Night,COCO,KA,971.01,174.99,46.54,1106.0,0,3,15.821880650994578,323.67,300-400,10%-20%
Madno,2026-02-01,WK 5,AECS Layout,Swiggy,Lunch,COCO,KA,425.5,52.5,20.28,458.0,0,1,11.462882096069869,425.5,400-500,10%-20%
Madno,2026-02-01,WK 5,AECS Layout,Swiggy,Snacks,COCO,KA,1654.01,195.99,78.72,1770.0,0,3,11.072881355932203,551.3366666666667,500-600,10%-20%
Madno,2026-02-01,WK 5,AECS Layout,Zomato,Late Night,COCO,KA,339.0,319.0,16.96,638.0,0,1,50.0,339.0,300-400,40%-50%
Madno,2026-02-01,WK 5,AECS Layout,Zomato,Lunch,COCO,KA,1114.0,419.0,55.74,1473.0,0,2,28.445349626612355,557.0,500-600,20%-30%
Madno,2026-02-01,WK 5,AECS Layout,Zomato,Snacks,COCO,KA,248.0,199.0,12.42,427.0,0,2,46.604215456674474,124.0,100-200,40%-50%
Frozen Bottle,2026-02-01,WK 5,Adoor,In Store,Dinner,FOFO,Kerela,6569.0,0.0,328.52,6569.0,0,14,0.0,469.2142857142857,400-500,0%
Frozen Bottle,2026-02-01,WK 5,Adoor,In Store,Lunch,FOFO,Kerela,229.0,0.0,11.46,229.0,0,1,0.0,229.0,200-300,0%
Frozen Bottle,2026-02-01,WK 5,Adoor,In Store,Snacks,FOFO,Kerela,596.0,0.0,29.840000000000003,596.0,0,4,0.0,149.0,100-200,0%
Frozen Bottle,2026-02-01,WK 5,Adoor,Swiggy,Dinner,FOFO,Kerela,1064.0,0.0,51.22,1024.0,0,3,0.0,354.6666666666667,300-400,0%
Frozen Bottle,2026-02-01,WK 5,Adoor,Swiggy,Lunch,FOFO,Kerela,1553.0,0.0,74.18,1483.0,0,5,0.0,310.6,300-400,0%
Frozen Bottle,2026-02-01,WK 5,Adoor,Swiggy,Snacks,FOFO,Kerela,1856.35,115.65,88.82000000000001,1892.0,0,5,6.112579281183932,371.27,300-400,1%-10%
Frozen Bottle,2026-02-01,WK 5,Adoor,Zomato,Lunch,FOFO,Kerela,229.0,120.0,11.46,339.0,0,1,35.39823008849557,229.0,200-300,30%-40%
Frozen Bottle,2026-02-01,WK 5,Adoor,Zomato,Snacks,FOFO,Kerela,838.0,180.0,41.92,968.0,0,3,18.59504132231405,279.3333333333333,200-300,10%-20%
Frozen Bottle,2026-02-01,WK 5,Agra,In Store,Dinner,FOFO,ROI,1273.0,0.0,63.68,1273.0,0,4,0.0,318.25,300-400,0%
Frozen Bottle,2026-02-01,WK 5,Agra,In Store,Lunch,FOFO,ROI,258.0,0.0,12.9,258.0,0,1,0.0,258.0,200-300,0%
Frozen Bottle,2026-02-01,WK 5,Agra,In Store,Snacks,FOFO,ROI,69.0,0.0,3.46,69.0,0,1,0.0,69.0,0-100,0%
Frozen Bottle,2026-02-01,WK 5,Agra,Zomato,Lunch,FOFO,ROI,193.2,45.8,9.66,229.0,0,1,20.0,193.2,100-200,10%-20%
Frozen Bottle,2026-02-01,WK 5,Agra,Zomato,Snacks,FOFO,ROI,422.0,75.0,21.1,477.0,0,1,15.723270440251572,422.0,400-500,10%-20%
Frozen Bottle,2026-02-01,WK 5,Ahmedabad 2,Swiggy,Dinner,,,170.84,0.0,8.04,160.84,0,1,0.0,170.84,100-200,0%
Frozen Bottle,2026-02-01,WK 5,Ahmedabad 2,Zomato,Dinner,,,1465.0,250.01,73.26,1665.01,0,1,15.015525432279686,1465.0,>900,10%-20%
Frozen Bottle,2026-02-01,WK 5,Ahmedabad 2,Zomato,Snacks,,,1550.8,394.2,77.54,1895.0,0,2,20.80211081794195,775.4,600-900,20%-30%
Boba Bar,2026-02-01,WK 5,Akshay Nagar,In Store,Snacks,FOFO,KA,478.0,0.0,23.9,478.0,0,1,0.0,478.0,400-500,0%
Frozen Bottle,2026-02-01,WK 5,Akshay Nagar,In Store,Dinner,FOFO,KA,2064.23,0.0,103.24000000000001,2064.23,0,4,0.0,516.0575,500-600,0%
Frozen Bottle,2026-02-01,WK 5,Akshay Nagar,In Store,Snacks,FOFO,KA,663.0,0.0,33.16,663.0,0,4,0.0,165.75,100-200,0%
Frozen Bottle,2026-02-01,WK 5,Akshay Nagar,Swiggy,Dinner,FOFO,KA,1126.0,0.0,54.32,1086.0,0,3,0.0,375.3333333333333,300-400,0%
Frozen Bottle,2026-02-01,WK 5,Akshay Nagar,Swiggy,Late Night,FOFO,KA,636.13,259.87,30.3,866.0,0,1,30.008083140877602,636.13,600-900,30%-40%
Frozen Bottle,2026-02-01,WK 5,Akshay Nagar,Swiggy,Snacks,FOFO,KA,327.0,120.0,15.360000000000001,427.0,0,2,28.10304449648712,163.5,100-200,20%-30%
Frozen Bottle,2026-02-01,WK 5,Akshay Nagar,Zomato,Dinner,FOFO,KA,169.0,120.0,8.46,279.0,0,1,43.01075268817204,169.0,100-200,40%-50%
Frozen Bottle,2026-02-01,WK 5,Akshay Nagar,Zomato,Snacks,FOFO,KA,289.0,50.0,14.46,329.0,0,1,15.19756838905775,289.0,200-300,10%-20%
Madno,2026-02-01,WK 5,Akshay Nagar,Swiggy,Dinner,FOFO,KA,618.0,0.0,29.9,598.0,0,1,0.0,618.0,600-900,0%
Madno,2026-02-01,WK 5,Akshay Nagar,Swiggy,Lunch,FOFO,KA,540.2,57.8,26.02,578.0,0,1,10.0,540.2,500-600,1%-10%
Madno,2026-02-01,WK 5,Akshay Nagar,Swiggy,Snacks,FOFO,KA,765.01,119.99,36.260000000000005,845.0,0,3,14.2,255.00333333333333,200-300,10%-20%
Madno,2026-02-01,WK 5,Akshay Nagar,Zomato,Dinner,FOFO,KA,239.0,0.0,11.96,229.0,0,1,0.0,239.0,200-300,0%
Madno,2026-02-01,WK 5,Akshay Nagar,Zomato,Late Night,FOFO,KA,344.0,0.0,17.2,334.0,0,1,0.0,344.0,300-400,0%
Madno,2026-02-01,WK 5,Akshay Nagar,Zomato,Lunch,FOFO,KA,289.0,50.0,14.46,329.0,0,1,15.19756838905775,289.0,200-300,10%-20%
Madno,2026-02-01,WK 5,Akshay Nagar,Zomato,Snacks,FOFO,KA,279.0,50.0,13.96,319.0,0,1,15.673981191222571,279.0,200-300,10%-20%
Frozen Bottle,2026-02-01,WK 5,Aluva,In Store,Dinner,FOFO,Kerela,3313.0,0.0,165.74,3313.0,0,10,0.0,331.3,300-400,0%
Frozen Bottle,2026-02-01,WK 5,Aluva,In Store,Lunch,FOFO,Kerela,1670.0,0.0,83.52,1670.0,0,3,0.0,556.6666666666666,500-600,0%
Frozen Bottle,2026-02-01,WK 5,Aluva,In Store,Snacks,FOFO,Kerela,1122.0,0.0,56.099999999999994,1122.0,0,4,0.0,280.5,200-300,0%
Frozen Bottle,2026-02-01,WK 5,Aluva,Swiggy,Dinner,FOFO,Kerela,1334.63,277.37,63.760000000000005,1552.0,0,3,17.871778350515463,444.8766666666667,400-500,10%-20%
Frozen Bottle,2026-02-01,WK 5,Aluva,Swiggy,Lunch,FOFO,Kerela,1128.95,124.05,53.94,1203.0,0,2,10.311720698254364,564.475,500-600,10%-20%
Frozen Bottle,2026-02-01,WK 5,Aluva,Swiggy,Snacks,FOFO,Kerela,339.0,0.0,16.46,329.0,0,1,0.0,339.0,300-400,0%
Frozen Bottle,2026-02-01,WK 5,Aluva,Zomato,Dinner,FOFO,Kerela,1278.2,55.8,63.94,1284.0,0,3,4.345794392523365,426.06666666666666,400-500,1%-10%
Frozen Bottle,2026-02-01,WK 5,Aluva,Zomato,Lunch,FOFO,Kerela,369.0,0.0,18.46,359.0,0,1,0.0,369.0,300-400,0%
Frozen Bottle,2026-02-01,WK 5,Aluva,Zomato,Snacks,FOFO,Kerela,1868.3,198.7,93.44,1987.0,0,4,10.0,467.075,400-500,1%-10%
Boba Bar,2026-02-01,WK 5,Alwarpet,Swiggy,Dinner,COCO,TN,310.68,87.32,14.540000000000001,378.0,0,2,23.100529100529098,155.34,100-200,20%-30%
Boba Bar,2026-02-01,WK 5,Alwarpet,Swiggy,Lunch,COCO,TN,233.0,56.0,11.16,279.0,0,1,20.07168458781362,233.0,200-300,20%-30%
Boba Bar,2026-02-01,WK 5,Alwarpet,Swiggy,Snacks,COCO,TN,246.5,52.5,11.82,289.0,0,1,18.166089965397923,246.5,200-300,10%-20%
Frozen Bottle,2026-02-01,WK 5,Alwarpet,In Store,Dinner,COCO,TN,627.0,0.0,31.380000000000003,627.0,0,3,0.0,209.0,200-300,0%
Frozen Bottle,2026-02-01,WK 5,Alwarpet,In Store,Lunch,COCO,TN,725.0,0.0,36.26,725.0,0,2,0.0,362.5,300-400,0%
Frozen Bottle,2026-02-01,WK 5,Alwarpet,In Store,Snacks,COCO,TN,487.0,130.0,24.36,617.0,0,1,21.06969205834684,487.0,400-500,20%-30%
Frozen Bottle,2026-02-01,WK 5,Alwarpet,Swiggy,Dinner,COCO,TN,2774.4,1443.6,131.24,4068.0,0,9,35.48672566371681,308.26666666666665,300-400,30%-40%
Frozen Bottle,2026-02-01,WK 5,Alwarpet,Swiggy,Late Night,COCO,TN,1285.62,1198.38,61.78,2434.0,0,3,49.235004108463436,428.53999999999996,400-500,40%-50%
Frozen Bottle,2026-02-01,WK 5,Alwarpet,Swiggy,Lunch,COCO,TN,1800.01,1031.99,86.03999999999999,2752.0,0,6,37.49963662790698,300.00166666666667,300-400,30%-40%
Frozen Bottle,2026-02-01,WK 5,Alwarpet,Swiggy,Snacks,COCO,TN,1965.68,1233.32,92.82,3089.0,0,7,39.92618970540628,280.81142857142856,200-300,30%-40%
Frozen Bottle,2026-02-01,WK 5,Alwarpet,Zomato,Dinner,COCO,TN,403.5,154.5,20.18,538.0,0,1,28.71747211895911,403.5,400-500,20%-30%
Frozen Bottle,2026-02-01,WK 5,Alwarpet,Zomato,Late Night,COCO,TN,299.0,279.0,14.96,558.0,0,1,50.0,299.0,200-300,40%-50%
Frozen Bottle,2026-02-01,WK 5,Alwarpet,Zomato,Lunch,COCO,TN,2361.0,1511.0,118.06,3752.0,0,5,40.27185501066098,472.2,400-500,40%-50%
Frozen Bottle,2026-02-01,WK 5,Alwarpet,Zomato,Snacks,COCO,TN,3517.5,514.5,175.98000000000002,3942.0,0,4,13.051750380517504,879.375,600-900,10%-20%
Madno,2026-02-01,WK 5,Alwarpet,Swiggy,Dinner,COCO,TN,310.6,176.4,14.54,467.0,0,2,37.77301927194861,155.3,100-200,30%-40%
Madno,2026-02-01,WK 5,Alwarpet,Swiggy,Late Night,COCO,TN,1079.01,104.99,51.96,1144.0,0,2,9.177447552447553,539.505,500-600,1%-10%
Madno,2026-02-01,WK 5,Alwarpet,Swiggy,Lunch,COCO,TN,490.51,87.49,23.52,558.0,0,1,15.67921146953405,490.51,400-500,10%-20%
Madno,2026-02-01,WK 5,Alwarpet,Zomato,Dinner,COCO,TN,339.0,319.0,16.96,638.0,0,1,50.0,339.0,300-400,40%-50%
Madno,2026-02-01,WK 5,Alwarpet,Zomato,Late Night,COCO,TN,189.0,100.0,9.46,279.0,0,1,35.842293906810035,189.0,100-200,30%-40%
Frozen Bottle,2026-02-01,WK 5,Ambernath,In Store,Lunch,,,199.0,0.0,9.96,199.0,0,1,0.0,199.0,100-200,0%
Frozen Bottle,2026-02-01,WK 5,Ambernath,In Store,Snacks,,,199.0,0.0,9.96,199.0,0,1,0.0,199.0,100-200,0%
Frozen Bottle,2026-02-01,WK 5,Ambernath,Swiggy,Lunch,,,993.47,252.53,47.68,1206.0,0,2,20.939469320066333,496.735,400-500,20%-30%
Frozen Bottle,2026-02-01,WK 5,Ambernath,Zomato,Dinner,,,289.0,50.0,14.46,329.0,0,1,15.19756838905775,289.0,200-300,10%-20%
Frozen Bottle,2026-02-01,WK 5,Amrawati,Zomato,Dinner,,,1074.0,873.0,53.72,1867.0,0,3,46.75950723085163,358.0,300-400,40%-50%
Frozen Bottle,2026-02-01,WK 5,Amrawati,Zomato,Late Night,,,299.0,279.0,14.96,558.0,0,1,50.0,299.0,200-300,40%-50%
Boba Bar,2026-02-01,WK 5,Ananth Nagar,In Store,Dinner,COCO,KA,119.0,0.0,5.96,119.0,0,1,0.0,119.0,100-200,0%
Boba Bar,2026-02-01,WK 5,Ananth Nagar,Swiggy,Lunch,COCO,KA,169.0,0.0,7.96,159.0,0,1,0.0,169.0,100-200,0%
Frozen Bottle,2026-02-01,WK 5,Ananth Nagar,In Store,Dinner,COCO,KA,1024.0,0.0,51.22,1024.0,0,4,0.0,256.0,200-300,0%
Frozen Bottle,2026-02-01,WK 5,Ananth Nagar,In Store,Lunch,COCO,KA,358.0,0.0,17.9,358.0,0,1,0.0,358.0,300-400,0%
Frozen Bottle,2026-02-01,WK 5,Ananth Nagar,In Store,Snacks,COCO,KA,964.0,0.0,48.199999999999996,964.0,0,3,0.0,321.3333333333333,300-400,0%
Frozen Bottle,2026-02-01,WK 5,Ananth Nagar,Swiggy,Dinner,COCO,KA,783.3100000000001,83.69,37.66,837.0,0,2,9.998805256869773,391.65500000000003,300-400,1%-10%
Frozen Bottle,2026-02-01,WK 5,Ananth Nagar,Swiggy,Lunch,COCO,KA,858.5,178.5,41.42,1007.0,0,2,17.72591857000993,429.25,400-500,10%-20%
Frozen Bottle,2026-02-01,WK 5,Ananth Nagar,Zomato,Dinner,COCO,KA,463.0,125.0,23.16,568.0,0,1,22.007042253521128,463.0,400-500,20%-30%
Frozen Bottle,2026-02-01,WK 5,Ananth Nagar,Zomato,Snacks,COCO,KA,1762.0,470.0,88.14,2162.0,0,4,21.73913043478261,440.5,400-500,20%-30%
Madno,2026-02-01,WK 5,Ananth Nagar,Swiggy,Dinner,COCO,KA,284.0,35.0,13.7,309.0,0,1,11.326860841423949,284.0,200-300,10%-20%
Boba Bar,2026-02-01,WK 5,Annanagar,In Store,Lunch,COCO,TN,508.0,0.0,25.42,508.0,0,2,0.0,254.0,200-300,0%
Boba Bar,2026-02-01,WK 5,Annanagar,In Store,Snacks,COCO,TN,249.0,0.0,12.46,249.0,0,1,0.0,249.0,200-300,0%
Boba Bar,2026-02-01,WK 5,Annanagar,Swiggy,Dinner,COCO,TN,751.81,193.19,35.599999999999994,905.0,0,2,21.346961325966852,375.905,300-400,20%-30%
Boba Bar,2026-02-01,WK 5,Annanagar,Swiggy,Lunch,COCO,TN,174.32,43.68,8.22,208.0,0,1,21.0,174.32,100-200,20%-30%
Boba Bar,2026-02-01,WK 5,Annanagar,Swiggy,Snacks,COCO,TN,607.01,279.99,28.86,857.0,0,1,32.670945157526255,607.01,600-900,30%-40%
Boba Bar,2026-02-01,WK 5,Annanagar,Zomato,Dinner,COCO,TN,264.0,50.0,13.2,304.0,0,1,16.447368421052634,264.0,200-300,10%-20%
Frozen Bottle,2026-02-01,WK 5,Annanagar,In Store,Dinner,COCO,TN,11205.42,0.0,560.5,11205.42,0,44,0.0,254.66863636363635,200-300,0%
Frozen Bottle,2026-02-01,WK 5,Annanagar,In Store,Late Night,COCO,TN,804.0,657.0,40.24,1461.0,0,6,44.969199178644764,134.0,100-200,40%-50%
Frozen Bottle,2026-02-01,WK 5,Annanagar,In Store,Lunch,COCO,TN,2535.0,0.0,126.8,2535.0,0,8,0.0,316.875,300-400,0%
Frozen Bottle,2026-02-01,WK 5,Annanagar,In Store,Snacks,COCO,TN,2160.23,540.0,108.04,2700.23,0,13,19.99829644141425,166.17153846153846,100-200,10%-20%
Frozen Bottle,2026-02-01,WK 5,Annanagar,Swiggy,Dinner,COCO,TN,3222.41,1265.59,153.66,4338.0,0,11,29.17450437989857,292.9463636363636,200-300,20%-30%
Frozen Bottle,2026-02-01,WK 5,Annanagar,Swiggy,Late Night,COCO,TN,841.0,435.0,40.06,1236.0,0,3,35.19417475728155,280.3333333333333,200-300,30%-40%
Frozen Bottle,2026-02-01,WK 5,Annanagar,Swiggy,Lunch,COCO,TN,1850.5,1054.5,87.04,2795.0,0,8,37.728085867620756,231.3125,200-300,30%-40%
Frozen Bottle,2026-02-01,WK 5,Annanagar,Swiggy,Snacks,COCO,TN,1349.2,557.8,64.46,1847.0,0,6,30.200324851109905,224.86666666666667,200-300,30%-40%
Frozen Bottle,2026-02-01,WK 5,Annanagar,Zomato,Dinner,COCO,TN,1779.34,373.5,89.02000000000001,2072.84,0,5,18.018756874626117,355.868,300-400,10%-20%
Frozen Bottle,2026-02-01,WK 5,Annanagar,Zomato,Late Night,COCO,TN,478.0,100.0,23.92,558.0,0,2,17.921146953405017,239.0,200-300,10%-20%
Frozen Bottle,2026-02-01,WK 5,Annanagar,Zomato,Lunch,COCO,TN,289.0,269.0,14.44,538.0,0,2,50.0,144.5,100-200,40%-50%
Frozen Bottle,2026-02-01,WK 5,Annanagar,Zomato,Snacks,COCO,TN,534.0,50.0,26.700000000000003,554.0,0,2,9.025270758122744,267.0,200-300,1%-10%
Madno,2026-02-01,WK 5,Annanagar,Swiggy,Dinner,COCO,TN,441.6,176.4,21.08,598.0,0,2,29.498327759197323,220.8,200-300,20%-30%
Madno,2026-02-01,WK 5,Annanagar,Zomato,Dinner,COCO,TN,159.0,100.0,7.96,249.0,0,1,40.16064257028113,159.0,100-200,40%-50%
Madno,2026-02-01,WK 5,Annanagar,Zomato,Lunch,COCO,TN,139.0,100.0,6.96,229.0,0,1,43.66812227074236,139.0,100-200,40%-50%
Madno,2026-02-01,WK 5,Annanagar,Zomato,Snacks,COCO,TN,239.0,50.0,11.96,279.0,0,1,17.921146953405017,239.0,200-300,10%-20%
Frozen Bottle,2026-02-01,WK 5,Attibele,In Store,Dinner,FOFO,KA,2374.23,0.0,118.74,2374.23,0,9,0.0,263.80333333333334,200-300,0%
Frozen Bottle,2026-02-01,WK 5,Attibele,In Store,Lunch,FOFO,KA,1150.23,0.0,57.54,1150.23,0,4,0.0,287.5575,200-300,0%
Frozen Bottle,2026-02-01,WK 5,Attibele,In Store,Snacks,FOFO,KA,3500.3,0.0,175.07999999999998,3500.3,0,11,0.0,318.20909090909095,300-400,0%
Frozen Bottle,2026-02-01,WK 5,Attibele,Zomato,Dinner,FOFO,KA,1448.0,170.0,72.44,1558.0,0,4,10.911424903722722,362.0,300-400,10%-20%
Frozen Bottle,2026-02-01,WK 5,Attibele,Zomato,Lunch,FOFO,KA,1076.0,125.01,53.82,1151.01,0,3,10.86089608257096,358.6666666666667,300-400,10%-20%
Frozen Bottle,2026-02-01,WK 5,Attibele,Zomato,Snacks,FOFO,KA,2060.0,165.0,103.02000000000001,2145.0,0,4,7.6923076923076925,515.0,500-600,1%-10%
Frozen Bottle,2026-02-01,WK 5,Aundh,In Store,Dinner,FOFO,MH,199.0,0.0,9.96,199.0,0,1,0.0,199.0,100-200,0%
Frozen Bottle,2026-02-01,WK 5,Aundh,Swiggy,Late Night,FOFO,MH,119.0,120.0,5.46,229.0,0,1,52.40174672489083,119.0,100-200,50%-60%
Frozen Bottle,2026-02-01,WK 5,Aundh,Swiggy,Lunch,FOFO,MH,339.0,0.0,16.46,329.0,0,1,0.0,339.0,300-400,0%
Frozen Bottle,2026-02-01,WK 5,Aundh,Swiggy,Snacks,FOFO,MH,578.0,0.0,27.9,558.0,0,1,0.0,578.0,500-600,0%
Frozen Bottle,2026-02-01,WK 5,Aundh,Zomato,Dinner,FOFO,MH,782.0,175.0,39.120000000000005,927.0,0,2,18.878101402373247,391.0,300-400,10%-20%
Frozen Bottle,2026-02-01,WK 5,Aundh,Zomato,Lunch,FOFO,MH,478.0,100.0,23.92,558.0,0,1,17.921146953405017,478.0,400-500,10%-20%
Boba Bar,2026-02-01,WK 5,Aurangabad- 1,In Store,Snacks,FOFO,MH,577.0,0.0,28.86,577.0,0,2,0.0,288.5,200-300,0%
Boba Bar,2026-02-01,WK 5,Aurangabad- 1,Swiggy,Dinner,FOFO,MH,725.03,159.97,34.26,845.0,0,1,18.931360946745563,725.03,600-900,10%-20%
Frozen Bottle,2026-02-01,WK 5,Aurangabad- 1,In Store,Dinner,FOFO,MH,1960.74,78.6,98.06,2039.34,0,6,3.854188119685781,326.79,300-400,1%-10%
Frozen Bottle,2026-02-01,WK 5,Aurangabad- 1,In Store,Lunch,FOFO,MH,585.0,0.0,29.28,585.0,0,4,0.0,146.25,100-200,0%
Frozen Bottle,2026-02-01,WK 5,Aurangabad- 1,In Store,Snacks,FOFO,MH,4416.0,724.5,220.88,5140.5,0,13,14.093959731543624,339.6923076923077,300-400,10%-20%
Frozen Bottle,2026-02-01,WK 5,Aurangabad- 1,Swiggy,Dinner,FOFO,MH,1246.0,0.0,60.3,1206.0,0,2,0.0,623.0,600-900,0%
Frozen Bottle,2026-02-01,WK 5,Aurangabad- 1,Swiggy,Snacks,FOFO,MH,895.82,251.18,43.3,1117.0,0,2,22.4870188003581,447.91,400-500,20%-30%
Frozen Bottle,2026-02-01,WK 5,Aurangabad- 1,Zomato,Dinner,FOFO,MH,726.0,0.0,36.32,696.0,0,3,0.0,242.0,200-300,0%
Madno,2026-02-01,WK 5,Aurangabad- 1,Swiggy,Lunch,FOFO,MH,379.0,0.0,18.46,369.0,0,1,0.0,379.0,300-400,0%
Boba Bar,2026-02-01,WK 5,Avadi,Swiggy,Lunch,FOFO,TN,588.0,0.0,28.4,568.0,0,1,0.0,588.0,500-600,0%
Frozen Bottle,2026-02-01,WK 5,Avadi,In Store,Dinner,FOFO,TN,5240.1,0.0,262.04,5240.1,0,18,0.0,291.1166666666667,200-300,0%
Frozen Bottle,2026-02-01,WK 5,Avadi,In Store,Lunch,FOFO,TN,3943.62,0.0,197.22,3943.62,0,14,0.0,281.6871428571429,200-300,0%
Frozen Bottle,2026-02-01,WK 5,Avadi,In Store,Snacks,FOFO,TN,2313.0,0.0,115.7,2313.0,0,11,0.0,210.27272727272728,200-300,0%
Frozen Bottle,2026-02-01,WK 5,Avadi,Swiggy,Dinner,FOFO,TN,238.64,0.0,10.94,218.64,0,1,0.0,238.64,200-300,0%
Frozen Bottle,2026-02-01,WK 5,Avadi,Swiggy,Lunch,FOFO,TN,2016.46,167.54,97.84,2124.0,0,3,7.887947269303202,672.1533333333333,600-900,1%-10%
Frozen Bottle,2026-02-01,WK 5,Avadi,Swiggy,Snacks,FOFO,TN,1555.0,0.0,75.25999999999999,1505.0,0,2,0.0,777.5,600-900,0%
