Brand Name,Date,Week,Branch,Source,Session,Store Type,Region,Net Sales,Discount,Taxes,Gross Sales,Quantity,Orders,Dis %,AOV,AOV Bucket,Discount Bucket
Boba Bar,2026-07-26,WK 30,Akshay Nagar,Ownly,Snacks,FOFO,KA,132.0,0.0,6.6,132.0,0,1,0.0,132.0,100-200,0%
Boba Bar,2026-07-26,WK 30,Akshay Nagar,Zomato,Dinner,FOFO,KA,151.0,0.0,7.56,141.0,0,1,0.0,151.0,100-200,0%
Boba Bar,2026-07-26,WK 30,Alwarpet,Swiggy,Dinner,COCO,TN,910.0,650.0,0.0,1490.0,0,3,43.624161073825505,303.3333333333333,300-400,40%-50%
Boba Bar,2026-07-26,WK 30,Alwarpet,Swiggy,Lunch,COCO,TN,198.0,182.0,0.0,380.0,0,2,47.89473684210526,99.0,0-100,40%-50%
Boba Bar,2026-07-26,WK 30,Alwarpet,Swiggy,Snacks,COCO,TN,936.0,496.0,0.0,1382.0,0,3,35.89001447178003,312.0,300-400,30%-40%
Boba Bar,2026-07-26,WK 30,Ananth Nagar,Zomato,Lunch,COCO,KA,250.0,80.0,12.5,320.0,0,1,25.0,250.0,200-300,20%-30%
Boba Bar,2026-07-26,WK 30,Annanagar,Zomato,Dinner,COCO,TN,210.5,190.5,10.54,381.0,0,1,50.0,210.5,200-300,40%-50%
Boba Bar,2026-07-26,WK 30,Annanagar,Zomato,Snacks,COCO,TN,325.0,165.0,16.26,470.0,0,1,35.1063829787234,325.0,300-400,30%-40%
Boba Bar,2026-07-26,WK 30,Avadi,Swiggy,Snacks,FOFO,TN,470.0,0.0,0.0,450.0,0,1,0.0,470.0,400-500,0%
Boba Bar,2026-07-26,WK 30,Avadi,Zomato,Dinner,FOFO,TN,446.0,125.0,22.32,551.0,0,1,22.686025408348456,446.0,400-500,20%-30%
Boba Bar,2026-07-26,WK 30,Avadi,Zomato,Lunch,FOFO,TN,535.0,125.0,26.76,640.0,0,1,19.53125,535.0,500-600,10%-20%
Boba Bar,2026-07-26,WK 30,BTM Layout,Swiggy,Dinner,COCO,KA,448.02,362.65999999999997,0.0,810.68,0,3,44.735283959145406,149.34,100-200,40%-50%
Boba Bar,2026-07-26,WK 30,BTM Layout,Swiggy,Late Night,COCO,KA,307.02,284.65999999999997,0.0,591.6800000000001,0,3,48.11046511627906,102.33999999999999,100-200,40%-50%
Boba Bar,2026-07-26,WK 30,Banashankari,Swiggy,Dinner,COCO,KA,218.0,182.0,0.0,380.0,0,1,47.89473684210526,218.0,200-300,40%-50%
Boba Bar,2026-07-26,WK 30,Banashankari,Swiggy,Lunch,COCO,KA,705.03,616.97,0.0,1262.0,0,2,48.88827258320127,352.515,300-400,40%-50%
Boba Bar,2026-07-26,WK 30,Banashankari,Swiggy,Snacks,COCO,KA,69.0,61.0,0.0,130.0,0,1,46.92307692307692,69.0,0-100,40%-50%
Boba Bar,2026-07-26,WK 30,Banashankari,Zomato,Snacks,COCO,KA,184.0,135.0,9.2,309.0,0,1,43.689320388349515,184.0,100-200,40%-50%
Boba Bar,2026-07-26,WK 30,Baner Road - Pune,Swiggy,Snacks,COCO,MH,567.0,130.0,0.0,677.0,0,1,19.202363367799112,567.0,500-600,10%-20%
Boba Bar,2026-07-26,WK 30,Baner Road - Pune,Zomato,Breakfast,COCO,MH,353.5,147.5,17.68,481.0,0,1,30.665280665280665,353.5,300-400,30%-40%
Boba Bar,2026-07-26,WK 30,Baner Road - Pune,Zomato,Dinner,COCO,MH,577.0,224.0,28.880000000000003,771.0,0,2,29.05317769130999,288.5,200-300,20%-30%
Boba Bar,2026-07-26,WK 30,Baner Road - Pune,Zomato,Snacks,COCO,MH,433.25,137.75,21.66,551.0,0,1,25.0,433.25,400-500,20%-30%
Boba Bar,2026-07-26,WK 30,Basaveshwarnagar,Ownly,Snacks,COCO,KA,289.0,0.0,14.46,289.0,0,1,0.0,289.0,200-300,0%
Boba Bar,2026-07-26,WK 30,Basaveshwarnagar,Swiggy,Dinner,COCO,KA,1138.32,704.0,0.0,1792.32,0,5,39.27870023210141,227.664,200-300,30%-40%
Boba Bar,2026-07-26,WK 30,Basaveshwarnagar,Swiggy,Late Night,COCO,KA,168.0,141.0,0.0,289.0,0,1,48.78892733564014,168.0,100-200,40%-50%
Boba Bar,2026-07-26,WK 30,Basaveshwarnagar,Swiggy,Snacks,COCO,KA,375.0,151.0,0.0,506.0,0,1,29.841897233201582,375.0,300-400,20%-30%
Boba Bar,2026-07-26,WK 30,Basaveshwarnagar,Zomato,Lunch,COCO,KA,482.34,229.5,24.12,681.84,0,1,33.658922914466736,482.34,400-500,30%-40%
Boba Bar,2026-07-26,WK 30,Basaveshwarnagar,Zomato,Snacks,COCO,KA,451.5,240.5,22.6,662.0,0,1,36.329305135951664,451.5,400-500,30%-40%
Boba Bar,2026-07-26,WK 30,Bel Road,Swiggy,Dinner,COCO,KA,716.02,159.98,0.0,846.0,0,1,18.910165484633566,716.02,600-900,10%-20%
Boba Bar,2026-07-26,WK 30,Bel Road,Swiggy,Late Night,COCO,KA,309.0,121.0,0.0,410.0,0,1,29.51219512195122,309.0,300-400,20%-30%
Boba Bar,2026-07-26,WK 30,Bel Road,Swiggy,Snacks,COCO,KA,109.0,91.0,0.0,190.0,0,1,47.89473684210526,109.0,100-200,40%-50%
Boba Bar,2026-07-26,WK 30,Bel Road,Zomato,Snacks,COCO,KA,184.0,135.0,9.2,309.0,0,1,43.689320388349515,184.0,100-200,40%-50%
Boba Bar,2026-07-26,WK 30,Besant Nagar,Swiggy,Late Night,COCO,TN,327.0,274.0,0.0,571.0,0,3,47.98598949211909,109.0,100-200,40%-50%
Boba Bar,2026-07-26,WK 30,Besant Nagar,Swiggy,Snacks,COCO,TN,300.0,0.0,0.0,290.0,0,1,0.0,300.0,200-300,0%
Boba Bar,2026-07-26,WK 30,Besant Nagar,Zomato,Snacks,COCO,TN,190.0,100.0,9.5,280.0,0,1,35.714285714285715,190.0,100-200,30%-40%
Boba Bar,2026-07-26,WK 30,Bhavanipuram,Zomato,Lunch,FOFO,AP & TL,528.0,0.0,26.4,518.0,0,1,0.0,528.0,500-600,0%
Boba Bar,2026-07-26,WK 30,Bhubaneswar,Zomato,Snacks,FOFO,ROI,500.0,100.0,25.0,580.0,0,1,17.24137931034483,500.0,400-500,10%-20%
Boba Bar,2026-07-26,WK 30,Boba Bar - Salem,In Store,Snacks,FOFO,TN,1164.0,0.0,58.199999999999996,1164.0,0,3,0.0,388.0,300-400,0%
Boba Bar,2026-07-26,WK 30,Byculla,Swiggy,Late Night,COCO,MH,141.0,0.0,0.0,131.0,0,1,0.0,141.0,100-200,0%
Boba Bar,2026-07-26,WK 30,Byculla,Swiggy,Lunch,COCO,MH,408.0,192.0,0.0,580.0,0,2,33.10344827586207,204.0,200-300,30%-40%
Boba Bar,2026-07-26,WK 30,Byculla,Zomato,Dinner,COCO,MH,463.25,207.75,23.16,641.0,0,1,32.41029641185648,463.25,400-500,30%-40%
Boba Bar,2026-07-26,WK 30,Byculla,Zomato,Late Night,COCO,MH,398.5,129.5,19.92,518.0,0,1,25.0,398.5,300-400,20%-30%
Boba Bar,2026-07-26,WK 30,Channasandra,Swiggy,Dinner,COCO,KA,218.0,182.0,0.0,380.0,0,1,47.89473684210526,218.0,200-300,40%-50%
Boba Bar,2026-07-26,WK 30,Channasandra,Swiggy,Snacks,COCO,KA,317.0,252.0,0.0,539.0,0,1,46.75324675324675,317.0,300-400,40%-50%
Boba Bar,2026-07-26,WK 30,Chikkabellandur,Swiggy,Snacks,FOFO,KA,290.0,0.0,0.0,280.0,0,1,0.0,290.0,200-300,0%
Boba Bar,2026-07-26,WK 30,City Mall Kota,Zomato,Snacks,FOFO,ROI,416.0,125.0,20.8,521.0,0,1,23.99232245681382,416.0,400-500,20%-30%
Boba Bar,2026-07-26,WK 30,Electronic city,Swiggy,Snacks,FOFO,KA,1918.04,432.96000000000004,0.0,2261.0,0,2,19.14904909332154,959.02,>900,10%-20%
Boba Bar,2026-07-26,WK 30,Erode,Swiggy,Dinner,COCO,TN,310.0,290.0,0.0,580.0,0,1,50.0,310.0,300-400,40%-50%
Boba Bar,2026-07-26,WK 30,Erode,Swiggy,Lunch,COCO,TN,590.0,270.0,0.0,830.0,0,2,32.53012048192771,295.0,200-300,30%-40%
Boba Bar,2026-07-26,WK 30,Erode,Zomato,Dinner,COCO,TN,310.0,225.0,15.5,515.0,0,1,43.689320388349515,310.0,300-400,40%-50%
