Brand Name,Date,Week,Branch,Source,Session,Store Type,Region,Net Sales,Discount,Taxes,Gross Sales,Quantity,Orders,Dis %,AOV,AOV Bucket,Discount Bucket
Boba Bar,2026-05-01,WK 18,AECS Layout,Ownly,Snacks,COCO,KA,132.0,0.0,6.6,132.0,0,1,0.0,132.0,100-200,0%
Boba Bar,2026-05-01,WK 18,AECS Layout,Swiggy,Dinner,COCO,KA,188.2,100.8,8.92,279.0,0,1,36.12903225806451,188.2,100-200,30%-40%
Boba Bar,2026-05-01,WK 18,AECS Layout,Swiggy,Late Night,COCO,KA,120.02,101.66,5.0,201.68,0,1,50.40658468861563,120.02,100-200,50%-60%
Frozen Bottle,2026-05-01,WK 18,AECS Layout,In Store,Dinner,COCO,KA,12468.84,0.0,623.76,12468.84,0,59,0.0,211.33627118644068,200-300,0%
Frozen Bottle,2026-05-01,WK 18,AECS Layout,In Store,Lunch,COCO,KA,953.55,0.0,47.7,953.55,0,6,0.0,158.92499999999998,100-200,0%
Frozen Bottle,2026-05-01,WK 18,AECS Layout,In Store,Snacks,COCO,KA,1355.1599999999999,0.0,67.80000000000001,1355.1599999999999,0,9,0.0,150.57333333333332,100-200,0%
Frozen Bottle,2026-05-01,WK 18,AECS Layout,Ownly,Dinner,COCO,KA,195.0,0.0,9.76,195.0,0,1,0.0,195.0,100-200,0%
Frozen Bottle,2026-05-01,WK 18,AECS Layout,Ownly,Snacks,COCO,KA,223.0,0.0,11.16,223.0,0,1,0.0,223.0,200-300,0%
Frozen Bottle,2026-05-01,WK 18,AECS Layout,Swiggy,Dinner,COCO,KA,5130.29,3860.55,241.1,8680.84,0,18,44.472078738923884,285.0161111111111,200-300,40%-50%
Frozen Bottle,2026-05-01,WK 18,AECS Layout,Swiggy,Late Night,COCO,KA,1629.45,843.23,76.52000000000001,2372.68,0,8,35.53913717821198,203.68125,200-300,30%-40%
Frozen Bottle,2026-05-01,WK 18,AECS Layout,Swiggy,Lunch,COCO,KA,5386.6,3180.24,255.42,8286.84,0,16,38.37699291889308,336.6625,300-400,30%-40%
Frozen Bottle,2026-05-01,WK 18,AECS Layout,Swiggy,Snacks,COCO,KA,1698.0,1250.0,79.44,2838.0,0,7,44.04510218463707,242.57142857142858,200-300,40%-50%
Frozen Bottle,2026-05-01,WK 18,AECS Layout,Zomato,Breakfast,COCO,KA,103.5,104.5,5.18,198.0,0,1,52.77777777777778,103.5,100-200,50%-60%
Frozen Bottle,2026-05-01,WK 18,AECS Layout,Zomato,Dinner,COCO,KA,2865.24,1708.6,143.34,4403.84,0,10,38.79795814561837,286.524,200-300,30%-40%
Frozen Bottle,2026-05-01,WK 18,AECS Layout,Zomato,Late Night,COCO,KA,2023.8,1166.2,101.24000000000001,3090.0,0,7,37.7411003236246,289.1142857142857,200-300,30%-40%
Frozen Bottle,2026-05-01,WK 18,AECS Layout,Zomato,Lunch,COCO,KA,2668.12,1608.73,133.42,4106.85,0,10,39.17187138561184,266.812,200-300,30%-40%
Frozen Bottle,2026-05-01,WK 18,AECS Layout,Zomato,Snacks,COCO,KA,2239.2,859.8,111.98,2989.0,0,7,28.765473402475745,319.88571428571424,300-400,20%-30%
Madno,2026-05-01,WK 18,AECS Layout,Ownly,Late Night,COCO,KA,140.0,0.0,7.0,140.0,0,1,0.0,140.0,100-200,0%
Madno,2026-05-01,WK 18,AECS Layout,Ownly,Snacks,COCO,KA,230.0,0.0,11.5,230.0,0,1,0.0,230.0,200-300,0%
Madno,2026-05-01,WK 18,AECS Layout,Swiggy,Dinner,COCO,KA,306.4,201.6,14.34,488.0,0,2,41.31147540983606,153.2,100-200,40%-50%
Madno,2026-05-01,WK 18,AECS Layout,Swiggy,Late Night,COCO,KA,1723.7,670.3,81.7,2304.0,0,4,29.092881944444443,430.925,400-500,20%-30%
Madno,2026-05-01,WK 18,AECS Layout,Swiggy,Lunch,COCO,KA,414.0,64.0,19.7,458.0,0,1,13.973799126637553,414.0,400-500,10%-20%
Madno,2026-05-01,WK 18,AECS Layout,Swiggy,Snacks,COCO,KA,175.0,64.0,8.26,229.0,0,1,27.947598253275107,175.0,100-200,20%-30%
Madno,2026-05-01,WK 18,AECS Layout,Zomato,Dinner,COCO,KA,959.7,484.3,47.98,1384.0,0,4,34.99277456647399,239.925,200-300,30%-40%
Madno,2026-05-01,WK 18,AECS Layout,Zomato,Late Night,COCO,KA,159.0,80.0,7.96,229.0,0,1,34.93449781659388,159.0,100-200,30%-40%
Madno,2026-05-01,WK 18,AECS Layout,Zomato,Lunch,COCO,KA,149.0,80.0,7.46,219.0,0,1,36.5296803652968,149.0,100-200,30%-40%
Frozen Bottle,2026-05-01,WK 18,Adoor,In Store,Dinner,FOFO,Kerela,1839.0,0.0,91.97999999999999,1839.0,0,6,0.0,306.5,300-400,0%
Frozen Bottle,2026-05-01,WK 18,Adoor,In Store,Lunch,FOFO,Kerela,3418.0,0.0,170.95999999999998,3418.0,0,11,0.0,310.72727272727275,300-400,0%
Frozen Bottle,2026-05-01,WK 18,Adoor,In Store,Snacks,FOFO,Kerela,3317.0,0.0,165.85999999999999,3317.0,0,10,0.0,331.7,300-400,0%
Frozen Bottle,2026-05-01,WK 18,Adoor,Swiggy,Breakfast,FOFO,Kerela,677.06,115.94,32.86,773.0,0,1,14.998706338939197,677.06,600-900,10%-20%
Frozen Bottle,2026-05-01,WK 18,Adoor,Swiggy,Dinner,FOFO,Kerela,2306.0,0.0,111.32000000000001,2226.0,0,5,0.0,461.2,400-500,0%
Frozen Bottle,2026-05-01,WK 18,Adoor,Swiggy,Lunch,FOFO,Kerela,2401.0,0.0,116.08,2321.0,0,4,0.0,600.25,600-900,0%
Frozen Bottle,2026-05-01,WK 18,Adoor,Swiggy,Snacks,FOFO,Kerela,2649.4,249.6,127.5,2799.0,0,4,8.917470525187566,662.35,600-900,1%-10%
Frozen Bottle,2026-05-01,WK 18,Adoor,Zomato,Lunch,FOFO,Kerela,530.11,97.89,26.5,608.0,0,2,16.10032894736842,265.055,200-300,10%-20%
Frozen Bottle,2026-05-01,WK 18,Adoor,Zomato,Snacks,FOFO,Kerela,1634.1599999999999,289.84000000000003,81.7,1864.0,0,5,15.549356223175966,326.832,300-400,10%-20%
