Brand Name,Date,Week,Branch,Source,Session,Store Type,Region,Net Sales,Discount,Taxes,Gross Sales,Quantity,Orders,Dis %,AOV,AOV Bucket,Discount Bucket
Frozen Bottle,2026-09-01,WK 36,AECS Layout,In Store,Dinner,COCO,KA,6802.11,909.13,340.24,7711.24,0,39,11.789673256181889,174.41307692307691,100-200,10%-20%
Frozen Bottle,2026-09-01,WK 36,AECS Layout,In Store,Lunch,COCO,KA,1042.72,143.13,52.16,1185.85,0,7,12.06982333347388,148.96,100-200,10%-20%
Frozen Bottle,2026-09-01,WK 36,AECS Layout,In Store,Snacks,COCO,KA,2161.69,324.16,108.08,2485.85,0,12,13.040207574873788,180.14083333333335,100-200,10%-20%
Frozen Bottle,2026-09-01,WK 36,AECS Layout,Ownly,Dinner,COCO,KA,1184.0,0.0,59.22,1184.0,0,4,0.0,296.0,200-300,0%
Frozen Bottle,2026-09-01,WK 36,AECS Layout,Ownly,Late Night,COCO,KA,564.0,0.0,28.22,564.0,0,2,0.0,282.0,200-300,0%
Frozen Bottle,2026-09-01,WK 36,AECS Layout,Ownly,Lunch,COCO,KA,299.8,0.0,14.98,299.8,0,2,0.0,149.9,100-200,0%
Frozen Bottle,2026-09-01,WK 36,AECS Layout,Ownly,Snacks,COCO,KA,313.5,0.0,15.68,313.5,0,2,0.0,156.75,100-200,0%
Frozen Bottle,2026-09-01,WK 36,AECS Layout,Swiggy,Dinner,COCO,KA,3198.02,1428.98,152.44,4477.0,0,11,31.91824882733973,290.7290909090909,200-300,30%-40%
Frozen Bottle,2026-09-01,WK 36,AECS Layout,Swiggy,Late Night,COCO,KA,3336.0,1456.0,158.34,4622.0,0,13,31.501514495889225,256.61538461538464,200-300,30%-40%
Frozen Bottle,2026-09-01,WK 36,AECS Layout,Swiggy,Lunch,COCO,KA,665.0,336.0,31.76,971.0,0,3,34.60350154479917,221.66666666666663,200-300,30%-40%
Frozen Bottle,2026-09-01,WK 36,AECS Layout,Swiggy,Snacks,COCO,KA,1032.0,458.0,49.6,1450.0,0,4,31.58620689655172,258.0,200-300,30%-40%
Frozen Bottle,2026-09-01,WK 36,AECS Layout,Zomato,Dinner,COCO,KA,1256.0,875.0,62.82,2051.0,0,4,42.66211604095563,314.0,300-400,40%-50%
Frozen Bottle,2026-09-01,WK 36,AECS Layout,Zomato,Late Night,COCO,KA,839.92,311.08,42.0,1111.0,0,1,28.0,839.92,600-900,20%-30%
Frozen Bottle,2026-09-01,WK 36,AECS Layout,Zomato,Snacks,COCO,KA,938.2,99.8,46.92,998.0,0,1,10.0,938.2,>900,1%-10%
Madno,2026-09-01,WK 36,AECS Layout,Ownly,Dinner,COCO,KA,129.0,0.0,6.46,129.0,0,1,0.0,129.0,100-200,0%
Madno,2026-09-01,WK 36,AECS Layout,Ownly,Late Night,COCO,KA,132.0,0.0,6.6,132.0,0,1,0.0,132.0,100-200,0%
Madno,2026-09-01,WK 36,AECS Layout,Ownly,Snacks,COCO,KA,244.5,0.0,12.22,244.5,0,1,0.0,244.5,200-300,0%
Madno,2026-09-01,WK 36,AECS Layout,Swiggy,Late Night,COCO,KA,764.6,214.4,36.24,939.0,0,4,22.83280085197018,191.15,100-200,20%-30%
Madno,2026-09-01,WK 36,AECS Layout,Swiggy,Lunch,COCO,KA,144.0,96.0,6.7,230.0,0,1,41.73913043478261,144.0,100-200,40%-50%
Madno,2026-09-01,WK 36,AECS Layout,Swiggy,Snacks,COCO,KA,306.0,64.0,14.8,360.0,0,1,17.77777777777778,306.0,300-400,10%-20%
Madno,2026-09-01,WK 36,AECS Layout,Zomato,Dinner,COCO,KA,668.0,300.0,33.4,948.0,0,2,31.64556962025317,334.0,300-400,30%-40%
Madno,2026-09-01,WK 36,AECS Layout,Zomato,Late Night,COCO,KA,490.0,350.0,24.5,810.0,0,2,43.20987654320987,245.0,200-300,40%-50%
Madno,2026-09-01,WK 36,AECS Layout,Zomato,Lunch,COCO,KA,220.0,100.0,11.0,310.0,0,1,32.25806451612903,220.0,200-300,30%-40%
Madno,2026-09-01,WK 36,AECS Layout,Zomato,Snacks,COCO,KA,420.0,160.0,21.0,560.0,0,2,28.57142857142857,210.0,200-300,20%-30%
Frozen Bottle,2026-09-01,WK 36,Adoor,In Store,Dinner,FOFO,Kerela,1121.0,0.0,56.1,1121.0,0,5,0.0,224.2,200-300,0%
Frozen Bottle,2026-09-01,WK 36,Adoor,In Store,Lunch,FOFO,Kerela,2228.0,0.0,111.42,2228.0,0,5,0.0,445.6,400-500,0%
Frozen Bottle,2026-09-01,WK 36,Adoor,In Store,Snacks,FOFO,Kerela,1551.0,0.0,77.56,1551.0,0,4,0.0,387.75,300-400,0%
Frozen Bottle,2026-09-01,WK 36,Adoor,Swiggy,Dinner,FOFO,Kerela,1362.0,0.0,64.62,1292.0,0,4,0.0,340.5,300-400,0%
Frozen Bottle,2026-09-01,WK 36,Adoor,Swiggy,Lunch,FOFO,Kerela,739.0,0.0,35.46,709.0,0,2,0.0,369.5,300-400,0%
